cycle,to_anchor_index,interval_days,interval_div_total,interval_div_median
2017,2,133,0.1021,2.3333
2017,3,57,0.0437,1.0
2017,4,95,0.0729,1.6667
2017,5,35,0.0269,0.614
2017,6,49,0.0376,0.8596
2017,7,106,0.0814,1.8596
2017,8,54,0.0414,0.9474
2017,9,57,0.0437,1.0
2017,10,84,0.0645,1.4737
2017,11,46,0.0353,0.807
2017,12,121,0.0929,2.1228
2017,13,51,0.0391,0.8947
2017,14,155,0.119,2.7193
2017,15,110,0.0844,1.9298
2017,16,55,0.0422,0.9649
2017,17,54,0.0414,0.9474
2017,18,41,0.0315,0.7193
2021,2,149,0.1127,1.9103
2021,3,41,0.031,0.5256
2021,4,46,0.0348,0.5897
2021,5,80,0.0605,1.0256
2021,6,64,0.0484,0.8205
2021,7,69,0.0522,0.8846
2021,8,78,0.059,1.0
2021,9,64,0.0484,0.8205
2021,10,93,0.0703,1.1923
2021,11,41,0.031,0.5256
2021,12,103,0.0779,1.3205
2021,13,142,0.1074,1.8205
2021,14,83,0.0628,1.0641
2021,15,63,0.0477,0.8077
2021,16,206,0.1558,2.641
2025,2,51,0.081,0.85
2025,3,40,0.0635,0.6667
2025,4,142,0.2254,2.3667
2025,5,60,0.0952,1.0
2025,6,136,0.2159,2.2667
2025,7,59,0.0937,0.9833
2025,8,142,0.2254,2.3667
