cycle,date,rel_day,price,log_norm
2025_actual,2025-04-18,-170.0,85074.99,-0.38253884352206297
2025_actual,2025-04-19,-169.0,85177.34,-0.3813365103460084
2025_actual,2025-04-20,-168.0,87522.07,-0.35418095623496226
2025_actual,2025-04-21,-167.0,93489.1,-0.28822709440683664
2025_actual,2025-04-22,-166.0,93740.92,-0.2855371395390815
2025_actual,2025-04-23,-165.0,94021.96,-0.28254357435860794
2025_actual,2025-04-24,-164.0,94708.79,-0.2752651310513275
2025_actual,2025-04-25,-163.0,94666.64,-0.27571027856276564
2025_actual,2025-04-26,-162.0,93780.57,-0.2851142546676901
2025_actual,2025-04-27,-161.0,95042.57,-0.27174704987116327
2025_actual,2025-04-28,-160.0,94271.09,-0.27989737849131857
2025_actual,2025-04-29,-159.0,94182.54,-0.28083713228132867
2025_actual,2025-04-30,-158.0,96524.98,-0.2562701114156101
2025_actual,2025-05-01,-157.0,96929.81,-0.2520848380405338
2025_actual,2025-05-02,-156.0,95861.33,-0.26316927833027787
2025_actual,2025-05-03,-155.0,94272.55,-0.27988189136059344
2025_actual,2025-05-04,-154.0,94733.99,-0.2749990876566027
2025_actual,2025-05-05,-153.0,96839.17,-0.25302038517105
2025_actual,2025-05-06,-152.0,97058.32,-0.2507599114195161
2025_actual,2025-05-07,-151.0,103253.49,-0.18888491364301102
2025_actual,2025-05-08,-150.0,102986.96,-0.19146956809249555
2025_actual,2025-05-09,-149.0,104821.19,-0.1738160002608356
2025_actual,2025-05-10,-148.0,104137.62,-0.18035865274266746
2025_actual,2025-05-11,-147.0,102800.21,-0.19328455054514676
2025_actual,2025-05-12,-146.0,104131.06,-0.18042164829247526
2025_actual,2025-05-13,-145.0,103545.38,-0.1860619756468919
2025_actual,2025-05-14,-144.0,103786.43,-0.18373671635735322
2025_actual,2025-05-15,-143.0,103500.03,-0.18650004380522725
2025_actual,2025-05-16,-142.0,103161.07,-0.1897803931690274
2025_actual,2025-05-17,-141.0,106473.46,-0.1581761941500835
2025_actual,2025-05-18,-140.0,105616.18,-0.16626036713348957
2025_actual,2025-05-19,-139.0,106883.24,-0.15433492266555968
2025_actual,2025-05-20,-138.0,109699.54,-0.12832677234761866
2025_actual,2025-05-21,-137.0,111722.53,-0.11005355964465455
2025_actual,2025-05-22,-136.0,107329.61,-0.15016737953206918
2025_actual,2025-05-23,-135.0,107794.01,-0.1458498552973332
2025_actual,2025-05-24,-134.0,109048.68,-0.13427755833050622
2025_actual,2025-05-25,-133.0,109464.32,-0.13047329495691953
2025_actual,2025-05-26,-132.0,108978.46,-0.13492169834379017
2025_actual,2025-05-27,-131.0,107819.29,-0.14561536141299636
2025_actual,2025-05-28,-130.0,105572.58,-0.16667326790168796
2025_actual,2025-05-29,-129.0,104033.26,-0.18136129065958084
2025_actual,2025-05-30,-128.0,104645.87,-0.17548996313537493
2025_actual,2025-05-31,-127.0,105697.94,-0.1654865427995562
2025_actual,2025-06-01,-126.0,105904.94,-0.16353004706536922
2025_actual,2025-06-02,-125.0,105447.82,-0.1678557129594774
2025_actual,2025-06-03,-124.0,104753.38,-0.17446312078090997
2025_actual,2025-06-04,-123.0,101570.2,-0.2053217613308506
2025_actual,2025-06-05,-122.0,104397.99,-0.17786152397604527
2025_actual,2025-06-06,-121.0,105619.02,-0.1662334776756702
2025_actual,2025-06-07,-120.0,105784.4,-0.16466888582813258
2025_actual,2025-06-08,-119.0,110301.15,-0.12285759404996881
2025_actual,2025-06-09,-118.0,110300.24,-0.12286584422463902
2025_actual,2025-06-10,-117.0,108669.37,-0.13776197667590495
2025_actual,2025-06-11,-116.0,105721.05,-0.1652679247833407
2025_actual,2025-06-12,-115.0,106118.7,-0.1615136674538767
2025_actual,2025-06-13,-114.0,105465.42,-0.16768881969055932
2025_actual,2025-06-14,-113.0,105599.25,-0.16642067739146893
2025_actual,2025-06-15,-112.0,106853.38,-0.15461433197028487
2025_actual,2025-06-16,-111.0,104590.44,-0.17601979470520798
2025_actual,2025-06-17,-110.0,104915.6,-0.1729157289600636
2025_actual,2025-06-18,-109.0,104671.9,-0.17524125037549612
2025_actual,2025-06-19,-108.0,103317.8,-0.18826227143481586
2025_actual,2025-06-20,-107.0,102160.03,-0.19953144098443215
2025_actual,2025-06-21,-106.0,100996.87,-0.21098242010363497
2025_actual,2025-06-22,-105.0,105419.39,-0.16812536133365816
2025_actual,2025-06-23,-104.0,106141.0,-0.16130354749156603
2025_actual,2025-06-24,-103.0,107400.22,-0.14950971587588296
2025_actual,2025-06-25,-102.0,107029.64,-0.15296614091798588
2025_actual,2025-06-26,-101.0,107113.38,-0.1521840467430886
2025_actual,2025-06-27,-100.0,107352.2,-0.14995692853872816
2025_actual,2025-06-28,-99.0,108386.44,-0.14036895743574626
2025_actual,2025-06-29,-98.0,107173.21,-0.15162563567728463
2025_actual,2025-06-30,-97.0,105711.78,-0.16535561220639552
2025_actual,2025-07-01,-96.0,108888.32,-0.13574917654072677
2025_actual,2025-07-02,-95.0,109628.83,-0.12897155899742413
2025_actual,2025-07-03,-94.0,108028.6,-0.14367593948390103
2025_actual,2025-07-04,-93.0,108246.65,-0.14165952684416402
2025_actual,2025-07-05,-92.0,109217.98,-0.1327262445938801
2025_actual,2025-07-06,-91.0,108269.84,-0.14144531683098052
2025_actual,2025-07-07,-90.0,108958.04,-0.13510909237883953
2025_actual,2025-07-08,-89.0,111282.85,-0.11399678800728
2025_actual,2025-07-09,-88.0,116031.3,-0.07221196407002599
2025_actual,2025-07-10,-87.0,117582.16,-0.05893462308913899
2025_actual,2025-07-11,-86.0,117472.65,-0.059866405833114616
2025_actual,2025-07-12,-85.0,119130.81,-0.0458498132826389
2025_actual,2025-07-13,-84.0,119863.71,-0.03971659903642826
2025_actual,2025-07-14,-83.0,117781.64,-0.05723954468061858
2025_actual,2025-07-15,-82.0,118681.68,-0.04962699533041041
2025_actual,2025-07-16,-81.0,119273.69,-0.04465117804625168
2025_actual,2025-07-17,-80.0,118023.05,-0.05519200199314085
2025_actual,2025-07-18,-79.0,117914.17,-0.05611495944537432
2025_actual,2025-07-19,-78.0,117312.7,-0.06122892717224523
2025_actual,2025-07-20,-77.0,117428.79,-0.060239839052678545
2025_actual,2025-07-21,-76.0,120026.42,-0.03836006115009256
2025_actual,2025-07-22,-75.0,118810.44,-0.0485426645103726
2025_actual,2025-07-23,-74.0,118397.04,-0.05202822422828139
2025_actual,2025-07-24,-73.0,117633.27,-0.05850004274885785
2025_actual,2025-07-25,-72.0,117969.63,-0.05564472790745663
2025_actual,2025-07-26,-71.0,119465.52,-0.04304415219336464
2025_actual,2025-07-27,-70.0,118070.59,-0.054789280423491495
2025_actual,2025-07-28,-69.0,117933.39,-0.05595197281076552
2025_actual,2025-07-29,-68.0,117830.15,-0.05682776562078926
2025_actual,2025-07-30,-67.0,115761.13,-0.0745431025144231
2025_actual,2025-07-31,-66.0,113248.73,-0.09648539619345223
2025_actual,2025-08-01,-65.0,112542.74,-0.10273888575804903
2025_actual,2025-08-02,-64.0,114215.73,-0.08798291782356127
2025_actual,2025-08-03,-63.0,115051.85,-0.08068905004835523
2025_actual,2025-08-04,-62.0,114112.95,-0.08888319900542571
2025_actual,2025-08-05,-61.0,115028.83,-0.0808891537691616
2025_actual,2025-08-06,-60.0,117515.49,-0.05950179168301646
2025_actual,2025-08-07,-59.0,116683.79,-0.06660431989163279
2025_actual,2025-08-08,-58.0,116492.51,-0.06824496727222905
2025_actual,2025-08-09,-57.0,119309.37,-0.044352078853995676
2025_actual,2025-08-10,-56.0,118701.84,-0.049457143606512544
2025_actual,2025-08-11,-55.0,120113.18,-0.03763748141917831
2025_actual,2025-08-12,-54.0,123365.63,-0.010919398811275346
2025_actual,2025-08-13,-53.0,118389.79,-0.0520894607421725
2025_actual,2025-08-14,-52.0,117436.96,-0.0601702673930959
2025_actual,2025-08-15,-51.0,117455.68,-0.06001087542543256
2025_actual,2025-08-16,-50.0,117488.6,-0.05973063876493198
2025_actual,2025-08-17,-49.0,116286.76,-0.0700127368298954
2025_actual,2025-08-18,-48.0,112856.19,-0.09995759303354487
2025_actual,2025-08-19,-47.0,114276.0,-0.08745537136577225
2025_actual,2025-08-20,-46.0,112480.3,-0.10329385116605848
2025_actual,2025-08-21,-45.0,116908.68,-0.06467882914715879
2025_actual,2025-08-22,-44.0,115383.87,-0.07780737675778265
2025_actual,2025-08-23,-43.0,113478.0,-0.09446296083130917
2025_actual,2025-08-24,-42.0,110127.74,-0.12443098160160718
2025_actual,2025-08-25,-41.0,111788.01,-0.10946763647634843
2025_actual,2025-08-26,-40.0,111253.21,-0.11426317180301426
2025_actual,2025-08-27,-39.0,112574.85,-0.10245361262397047
2025_actual,2025-08-28,-38.0,108378.32,-0.14044387736280267
2025_actual,2025-08-29,-37.0,108827.93,-0.1363039353292766
2025_actual,2025-08-30,-36.0,108247.95,-0.14164751730674346
2025_actual,2025-08-31,-35.0,109240.55,-0.13251961498705891
2025_actual,2025-09-01,-34.0,111247.94,-0.11431054234470352
2025_actual,2025-09-02,-33.0,111756.41,-0.10975035433806446
2025_actual,2025-09-03,-32.0,110720.79,-0.11906031940616997
