cycle,anchor_index,date,days_from_halving,kind,price,persistence,score,median_prominence_log,interval_from_prev_days
2017,1,2016-08-28,50,trough,575.41,4,4.69,0.1725,
2017,2,2017-01-08,183,peak,923.33,4,4.6103,0.1526,133.0
2017,3,2017-03-06,240,peak,1284.99,2,2.4219,0.2109,57.0
2017,4,2017-06-09,335,peak,2811.39,2,2.4141,0.2071,95.0
2017,5,2017-07-14,370,trough,2217.24,2,2.4141,0.2071,35.0
2017,6,2017-09-01,419,peak,4947.99,2,2.4094,0.2047,49.0
2017,7,2017-12-16,525,peak,19650.01,3,7.8784,1.6261,106.0
2017,8,2018-02-08,579,trough,8218.1,2,2.5607,0.2804,54.0
2017,9,2018-04-06,636,trough,6619.01,3,3.9099,0.3033,57.0
2017,10,2018-06-29,720,trough,6202.36,3,3.6752,0.2251,84.0
2017,11,2018-08-14,766,trough,6195.01,2,2.2295,0.1148,46.0
2017,12,2018-12-13,887,trough,3265.0,3,7.8784,1.6261,121.0
2017,13,2019-02-02,938,trough,3468.43,3,3.4179,0.1393,51.0
2017,14,2019-07-07,1093,peak,11478.9,3,5.0782,0.6927,155.0
2017,15,2019-10-25,1203,peak,8704.85,4,4.6096,0.1524,110.0
2017,16,2019-12-19,1258,trough,7153.99,4,5.2599,0.315,55.0
2017,17,2020-02-11,1312,peak,10279.99,4,5.2599,0.315,54.0
2017,18,2020-03-23,1353,trough,6583.38,4,6.5377,0.6344,41.0
2021,1,2020-08-17,98,peak,12325.1,3,3.3806,0.1269,
2021,2,2021-01-13,247,peak,37520.66,3,3.523,0.1743,149.0
2021,3,2021-02-23,288,peak,48972.11,2,2.2494,0.1247,41.0
2021,4,2021-04-10,334,peak,60039.35,5,7.7965,0.5593,46.0
2021,5,2021-06-29,414,trough,35928.75,3,4.4909,0.497,80.0
2021,6,2021-09-01,478,peak,48889.19,2,2.2777,0.1388,64.0
2021,7,2021-11-09,547,peak,66967.98,5,11.627,1.3254,69.0
2021,8,2022-01-26,625,trough,36838.9,2,2.4513,0.2257,78.0
2021,9,2022-03-31,689,peak,45475.83,3,3.622,0.2073,64.0
2021,10,2022-07-02,782,trough,19210.52,3,3.4755,0.1585,93.0
2021,11,2022-08-12,823,peak,24398.29,3,3.4755,0.1585,41.0
2021,12,2022-11-23,926,trough,16597.46,4,9.3684,1.3421,103.0
2021,13,2023-04-14,1068,peak,30493.72,3,3.3596,0.1199,142.0
2021,14,2023-07-06,1151,peak,29910.89,3,3.5001,0.1667,83.0
2021,15,2023-09-07,1214,trough,26267.36,4,4.6346,0.1586,63.0
2021,16,2024-03-31,1420,peak,71213.11,3,3.4485,0.1495,206.0
2025,1,2024-06-04,45,peak,70596.56,3,3.334,0.1113,
2025,2,2024-07-25,96,peak,65816.21,2,2.2876,0.1438,51.0
2025,3,2024-09-03,136,trough,57474.64,4,4.672,0.168,40.0
2025,4,2025-01-23,278,peak,104850.27,3,3.7087,0.2362,142.0
2025,5,2025-03-24,338,trough,87427.88,4,4.6897,0.1724,60.0
2025,6,2025-08-07,474,peak,116683.79,3,4.5647,0.5216,136.0
2025,7,2025-10-05,533,peak,124720.09,2,3.195,0.5975,59.0
2025,8,2026-02-24,675,trough,64290.01,4,4.6601,0.165,142.0
