left_node_index,left_date,left_rel_day,left_kind,left_price,model_date,model_rel_day,projected_price,projected_return_from_right_anchor_pct
11,2021-04-14,-208,rally_end,63283.43,2025-01-11,-267,120752.78992388904,-3.1809631280020345
12,2021-05-21,-171,down_to_down,37425.0,2025-02-17,-230,92860.9394713641,-25.544521759594552
13,2021-06-06,-155,drop_end,35873.42,2025-03-05,-214,90915.63150124301,-27.10426082819294
14,2021-06-15,-146,rally_end,40093.93,2025-03-14,-205,96115.06909684502,-22.93537545006179
15,2021-07-18,-113,drop_end,31753.02,2025-04-16,-172,85535.16294594441,-31.418296005122826
16,2021-08-11,-89,up_to_up,45482.95,2025-05-10,-148,102370.89049555134,-17.919486350954895
17,2021-09-04,-65,rally_end,49949.07,2025-06-03,-124,107279.2853714931,-13.983957699603089
18,2021-09-27,-42,drop_end,42214.52,2025-06-26,-101,98624.109828551,-20.923638021307557
0,2021-11-08,0,manual_anchor,67510.06,2025-08-07,-59,124720.09,0.0
19,2021-11-10,2,rally_end,64896.86,2025-08-09,-57,122282.4159886202,-1.9545159175075932
20,2022-01-23,76,drop_end,36233.04,2025-10-22,17,91370.19574443625,-26.739793288766666
21,2022-02-08,92,rally_end,44147.59,2025-11-07,33,100856.91244767458,-19.133387052819973
22,2022-02-22,106,drop_end,38261.46,2025-11-21,47,93892.93991196436,-24.717068507596196
23,2022-04-03,146,rally_end,46358.05,2025-12-31,87,103351.01552878635,-17.13362656426375
24,2022-05-11,184,drop_end,29027.82,2026-02-07,125,81782.31111644031,-34.42731550591384
25,2022-06-08,212,drop_start,30195.33,2026-03-07,153,83410.75624334654,-33.12163562153737
26,2022-06-18,222,drop_end,18989.21,2026-03-17,163,66146.30929397968,-46.96419053740285
27,2022-08-14,279,rally_end,24301.71,2026-05-13,220,74829.1109866136,-40.00235969472633
28,2022-09-06,302,down_to_down,18777.0,2026-06-05,243,65775.66866148262,-47.26136850808669
29,2022-09-23,319,drop_end,19304.43,2026-06-22,260,66693.06243786914,-46.52580635736461
30,2022-11-05,362,rally_end,21304.72,2026-08-04,303,70063.21855300841,-43.82363053698213
31,2022-11-22,379,drop_end,16206.32,2026-08-21,320,61107.479897682206,-51.0043009929818
32,2022-12-13,400,rally_end,17763.65,2026-09-11,341,63976.175208997985,-48.70419416070179
33,2023-01-05,423,drop_end,16824.98,2026-10-04,364,62262.91463677964,-50.077878682752996
34,2023-02-19,468,rally_end,24316.05,2026-11-18,409,74851.18538387743,-39.98466054356003
35,2023-03-10,487,drop_end,20227.02,2026-12-07,428,68268.14787395882,-45.26291003000493
