from_index,to_index,from_date,to_date,target_date,span_days,delta_days,abs_delta_days,from_kind,to_kind,from_group,to_group,match_score
1,28,2015-01-16,2019-02-05,2019-01-16,1461,20,20,drop_end,drop_end,low_or_start,low_or_start,29.2814
2,29,2015-03-11,2019-03-27,2019-03-11,1461,16,16,rally_end,up_to_up,high_or_end,up_continuation,50.5941
3,29,2015-04-16,2019-03-27,2019-04-16,1461,-20,20,drop_end,up_to_up,low_or_start,up_continuation,55.7345
4,30,2015-07-28,2019-06-27,2019-07-28,1461,-31,31,rally_end,rally_end,high_or_end,high_or_end,36.4773
5,30,2015-08-25,2019-06-27,2019-08-25,1461,-59,59,drop_end,rally_end,low_or_start,high_or_end,95.6798
6,31,2015-12-17,2019-12-15,2019-12-17,1461,-2,2,rally_end,drop_end,high_or_end,low_or_start,36.4267
7,31,2016-02-01,2019-12-15,2020-02-01,1461,-48,48,drop_end,drop_end,low_or_start,low_or_start,49.3045
8,32,2016-02-20,2020-02-13,2020-02-20,1461,-7,7,rally_end,rally_end,high_or_end,high_or_end,15.6708
9,34,2016-05-24,2020-05-07,2020-05-24,1461,-17,17,rally_start,rally_end,low_or_start,high_or_end,52.2886
10,34,2016-06-17,2020-05-07,2020-06-17,1461,-41,41,rally_end,rally_end,high_or_end,high_or_end,44.6462
11,37,2016-08-31,2020-10-05,2020-08-31,1461,35,35,drop_end,drop_end,low_or_start,low_or_start,39.0155
12,38,2017-03-04,2021-04-14,2021-03-04,1461,41,41,rally_end,rally_end,high_or_end,high_or_end,47.9269
13,38,2017-03-25,2021-04-14,2021-03-25,1461,20,20,drop_end,rally_end,low_or_start,high_or_end,55.8514
14,38,2017-06-09,2021-04-14,2021-06-09,1461,-56,56,rally_end,rally_end,high_or_end,high_or_end,59.5479
15,39,2017-07-17,2021-07-18,2021-07-17,1461,1,1,drop_end,drop_end,low_or_start,low_or_start,2.0383
16,40,2017-11-12,2021-11-10,2021-11-12,1461,-2,2,up_to_up,rally_end,up_continuation,high_or_end,44.1198
17,40,2017-12-17,2021-11-10,2021-12-17,1461,-37,37,rally_end,rally_end,high_or_end,high_or_end,57.0
18,41,2018-02-06,2022-01-23,2022-02-06,1461,-14,14,drop_end,drop_end,low_or_start,low_or_start,23.5146
19,42,2018-03-03,2022-04-03,2022-03-03,1461,31,31,rally_end,rally_end,high_or_end,high_or_end,34.2631
20,42,2018-04-06,2022-04-03,2022-04-06,1461,-3,3,drop_end,rally_end,low_or_start,high_or_end,39.1519
21,42,2018-05-05,2022-04-03,2022-05-05,1461,-32,32,rally_end,rally_end,high_or_end,high_or_end,32.4196
22,43,2018-06-26,2022-06-18,2022-06-26,1461,-8,8,drop_end,drop_end,low_or_start,low_or_start,8.0686
23,44,2018-07-26,2022-08-14,2022-07-26,1461,19,19,rally_end,rally_end,high_or_end,high_or_end,22.135
24,44,2018-08-12,2022-08-14,2022-08-12,1461,2,2,drop_end,rally_end,low_or_start,high_or_end,37.6489
25,44,2018-09-02,2022-08-14,2022-09-02,1461,-19,19,rally_end,rally_end,high_or_end,high_or_end,19.5459
26,45,2018-11-08,2022-11-22,2022-11-08,1461,14,14,down_to_down,drop_end,down_continuation,low_or_start,48.9224
27,45,2018-12-22,2022-11-22,2022-12-22,1461,-30,30,down_to_down,drop_end,down_continuation,low_or_start,65.1455
28,45,2019-02-05,2022-11-22,2023-02-05,1461,-75,75,drop_end,drop_end,low_or_start,low_or_start,76.9053
29,46,2019-03-27,2023-04-13,2023-03-27,1461,17,17,up_to_up,rally_end,up_continuation,high_or_end,52.6357
30,48,2019-06-27,2023-07-02,2023-06-27,1461,5,5,rally_end,rally_end,high_or_end,high_or_end,11.4344
31,49,2019-12-15,2023-10-13,2023-12-15,1461,-63,63,drop_end,drop_end,low_or_start,low_or_start,63.0539
32,50,2020-02-13,2024-03-12,2024-02-13,1461,28,28,rally_end,rally_end,high_or_end,high_or_end,33.7901
33,50,2020-03-14,2024-03-12,2024-03-14,1461,-2,2,drop_end,rally_end,low_or_start,high_or_end,45.4295
34,52,2020-05-07,2024-06-06,2024-05-07,1461,30,30,rally_end,rally_end,high_or_end,high_or_end,31.0336
35,53,2020-07-18,2024-07-06,2024-07-18,1461,-12,12,rally_start,drop_end,low_or_start,low_or_start,24.7905
36,54,2020-08-16,2024-07-28,2024-08-16,1461,-19,19,rally_end,rally_end,high_or_end,high_or_end,19.0051
37,55,2020-10-05,2024-09-07,2024-10-05,1461,-28,28,drop_end,drop_end,low_or_start,low_or_start,31.873
38,58,2021-04-14,2025-05-22,2025-04-14,1461,38,38,rally_end,rally_end,high_or_end,high_or_end,49.5071
39,59,2021-07-18,2025-08-11,2025-07-18,1461,24,24,drop_end,drop_start,low_or_start,high_or_end,63.848
40,61,2021-11-10,2025-10-05,2025-11-10,1461,-36,36,rally_end,rally_end,high_or_end,high_or_end,38.5889
41,62,2022-01-23,2026-02-22,2026-01-23,1461,30,30,drop_end,drop_end,low_or_start,low_or_start,31.1056
42,63,2022-04-03,2026-05-08,2026-04-03,1461,35,35,rally_end,rally_end,high_or_end,high_or_end,38.9923
43,63,2022-06-18,2026-05-08,2026-06-18,1461,-41,41,drop_end,rally_end,low_or_start,high_or_end,78.6975
