node_index,date,days_from_start,price,kind,kind_group,prev_days,next_days,prev_move_pct,next_move_pct,score
1,2015-01-16,46,199.46,drop_end,low_or_start,46,54,-53.3,66.64,330.8136
2,2015-03-11,100,296.99,rally_end,high_or_end,54,36,66.64,-23.15,129.8034
3,2015-04-16,136,229.45,drop_end,low_or_start,36,103,-23.15,30.3,52.1821
4,2015-07-28,239,295.76,rally_end,high_or_end,103,28,30.3,-23.67,65.3432
5,2015-08-25,267,223.73,drop_end,low_or_start,28,114,-23.67,105.88,158.5922
6,2015-12-17,381,455.5,rally_end,high_or_end,114,46,105.88,-19.09,102.1593
7,2016-02-01,427,371.33,drop_end,low_or_start,46,19,-19.09,15.9,44.4527
8,2016-02-20,446,437.46,rally_end,high_or_end,19,94,15.9,4.01,13.7296
9,2016-05-24,540,446.99,rally_start,low_or_start,94,24,4.01,67.13,116.0084
10,2016-06-17,564,752.26,rally_end,high_or_end,24,75,67.13,-23.38,194.5968
11,2016-08-31,639,572.89,drop_end,low_or_start,75,185,-23.38,122.97,84.2319
12,2017-03-04,824,1273.97,rally_end,high_or_end,185,21,122.97,-22.89,177.4563
13,2017-03-25,845,963.72,drop_end,low_or_start,21,76,-22.89,188.08,346.6386
14,2017-06-09,921,2811.39,rally_end,high_or_end,76,38,188.08,-25.11,290.0906
15,2017-07-17,959,2235.19,drop_end,low_or_start,38,118,-25.11,199.85,234.6743
16,2017-11-12,1077,5886.35,up_to_up,up_continuation,118,35,199.85,193.09,465.4755
17,2017-12-17,1112,19378.99,rally_end,high_or_end,35,51,193.09,-58.87,945.4391
18,2018-02-06,1163,7688.46,drop_end,low_or_start,51,25,-58.87,45.95,412.227
19,2018-03-03,1188,11432.5,rally_end,high_or_end,25,34,45.95,-39.28,261.3068
20,2018-04-06,1222,6619.01,drop_end,low_or_start,34,29,-39.28,41.22,224.2667
21,2018-05-05,1251,9800.0,rally_end,high_or_end,29,52,41.22,-36.78,166.5242
22,2018-06-26,1303,6074.0,drop_end,low_or_start,52,30,-36.78,34.27,140.4231
23,2018-07-26,1333,7931.99,rally_end,high_or_end,30,17,34.27,-23.82,146.3494
