cycle,anchor_index,date,days_from_halving,price,drop_into_anchor_pct,rally_from_anchor_pct,prev_peak_date,next_peak_date,interval_from_prev_days,score
2017,1,2016-09-23,76,602.96,-1.99,67.75,2016-09-07,2017-01-02,,0.6974
2017,2,2017-01-14,189,828.0,-18.14,53.86,2017-01-02,2017-03-04,113.0,0.72
2017,3,2017-03-25,259,963.72,-24.35,190.51,2017-03-04,2017-06-08,70.0,2.1487
2017,4,2017-07-16,372,1911.78,-31.72,158.82,2017-06-08,2017-09-01,113.0,1.9053
2017,5,2017-09-16,434,3726.51,-24.69,427.3,2017-09-01,2017-12-16,62.0,4.5199
2017,6,2018-02-08,579,8218.1,-58.18,39.11,2017-12-16,2018-03-03,145.0,0.9729
2017,7,2018-04-07,637,6894.01,-39.7,39.25,2018-03-03,2018-05-06,58.0,0.7895
2017,8,2018-06-25,716,6246.01,-34.94,31.03,2018-05-06,2018-07-27,79.0,0.6597
2017,9,2018-12-13,887,3265.0,-49.79,20.82,2018-11-07,2018-12-23,171.0,0.7062
2017,10,2019-02-04,940,3409.57,-13.57,254.39,2018-12-23,2019-07-10,53.0,2.6796
2017,11,2019-12-17,1256,6618.62,-27.87,55.32,2019-10-30,2020-02-11,316.0,0.8319
2017,12,2020-03-15,1345,5327.12,-48.18,71.43,2020-02-11,2020-05-06,89.0,1.1961
2021,1,2020-06-30,50,9129.47,-6.5,35.0,2020-06-07,2020-08-17,,0.415
2021,2,2020-09-06,118,10255.2,-16.79,272.9,2020-08-17,2021-01-10,68.0,2.897
2021,3,2021-01-24,258,32250.01,-15.67,96.23,2021-01-10,2021-04-14,140.0,1.119
2021,4,2021-07-18,433,31753.02,-46.22,57.21,2021-05-08,2021-09-03,175.0,1.0343
2021,5,2021-09-27,504,42214.52,-15.43,53.49,2021-09-03,2021-11-11,71.0,0.6892
2021,6,2022-01-24,623,36643.49,-43.45,21.18,2021-11-11,2022-02-09,119.0,0.6462
2021,7,2022-07-02,782,19210.52,-59.15,27.26,2022-03-30,2022-08-13,159.0,0.8641
2021,8,2022-12-31,964,16531.0,-3.94,50.24,2022-12-12,2023-02-20,182.0,0.5418
2021,9,2023-03-09,1032,20364.09,-18.0,49.34,2023-02-20,2023-04-13,68.0,0.6735
2021,10,2023-09-08,1215,25906.35,-15.38,81.42,2023-07-02,2024-01-08,183.0,0.9681
2021,11,2024-01-22,1351,39547.64,-15.86,80.72,2024-01-08,2024-03-12,136.0,0.9658
2025,1,2024-07-07,78,55913.47,-19.3,17.71,2024-06-07,2024-07-25,,0.3701
2025,2,2024-09-07,140,54178.64,-15.55,87.16,2024-08-24,2024-12-13,62.0,1.0271
2025,3,2025-04-07,352,76251.64,-12.78,41.37,2025-03-24,2025-05-23,212.0,0.5415
2025,4,2025-12-17,606,86064.34,-30.99,10.93,2025-10-05,2026-01-16,254.0,0.4192
2025,5,2026-02-25,676,68448.27,-28.3,6.58,2026-01-16,2026-03-15,70.0,0.3488
