cycle,to_anchor_index,interval_days,interval_div_cycle_anchor_span
2017,2,113,0.089
2017,3,70,0.0552
2017,4,113,0.089
2017,5,62,0.0489
2017,6,145,0.1143
2017,7,58,0.0457
2017,8,79,0.0623
2017,9,171,0.1348
2017,10,53,0.0418
2017,11,316,0.249
2017,12,89,0.0701
2021,2,68,0.0523
2021,3,140,0.1076
2021,4,175,0.1345
2021,5,71,0.0546
2021,6,119,0.0915
2021,7,159,0.1222
2021,8,182,0.1399
2021,9,68,0.0523
2021,10,183,0.1407
2021,11,136,0.1045
2025,2,62,0.1037
2025,3,212,0.3545
2025,4,254,0.4247
2025,5,70,0.1171
