cycle,anchor_index,date,days_from_halving,price,drop_pct,rally_pct,prev_peak_date,next_peak_date,interval_from_prev_days,score,votes,scale
2017,1,2016-08-03,25,573.36,-15.68,9.52,2016-07-17,2016-09-08,,0.3321,2,3
2017,2,2016-08-28,50,579.29,-14.81,95.12,2016-07-17,2017-01-04,25.0,1.1793,4,14
2017,3,2016-09-22,75,602.96,-3.98,27.58,2016-09-08,2016-12-02,25.0,0.3956,2,5
2017,4,2016-11-04,118,706.32,-5.14,39.05,2016-11-02,2016-12-28,43.0,0.522,1,3
2017,5,2017-01-13,188,828.0,-26.75,262.2,2017-01-04,2017-06-11,70.0,2.9694,4,14
2017,6,2017-02-10,216,1018.65,-9.88,26.92,2017-01-04,2017-03-03,28.0,0.448,2,5
2017,7,2017-03-24,258,934.87,-27.69,429.27,2017-03-03,2017-09-01,42.0,4.6496,5,14
2017,8,2017-04-14,279,1173.74,-7.07,144.63,2017-03-15,2017-06-06,21.0,1.5969,1,3
2017,9,2017-05-27,322,2232.78,-8.23,53.28,2017-05-24,2017-08-08,43.0,0.6951,2,5
2017,10,2017-07-15,371,2340.0,-21.97,739.74,2017-06-11,2017-12-16,49.0,7.6972,4,14
2017,11,2017-08-20,407,4050.99,-7.3,59.1,2017-08-16,2017-10-31,36.0,0.744,2,5
2017,12,2017-09-18,436,3872.06,-21.74,407.48,2017-09-01,2017-12-16,29.0,4.3723,5,14
2017,13,2017-10-25,473,5739.97,-4.73,242.34,2017-10-21,2017-12-16,37.0,2.5507,1,3
2017,14,2017-11-12,491,5886.35,-21.18,233.82,2017-11-08,2017-12-16,18.0,2.63,3,3
2017,15,2017-12-09,518,15309.98,-11.96,28.35,2017-12-07,2017-12-16,27.0,0.4831,1,3
2017,16,2017-12-29,538,12839.99,-34.66,33.17,2017-12-16,2018-01-06,20.0,0.7583,5,5
2017,17,2018-02-07,578,7688.46,-60.87,49.18,2017-12-16,2018-03-04,40.0,1.1806,4,5
2017,18,2018-03-16,615,7865.02,-31.43,24.6,2018-03-04,2018-05-05,37.0,0.6403,2,3
2017,19,2018-04-06,636,6785.85,-65.47,44.42,2017-12-16,2018-05-05,21.0,1.1788,4,14
2017,20,2018-05-27,687,7346.64,-35.95,14.14,2018-03-04,2018-07-24,51.0,0.5809,3,9
2017,21,2018-06-26,717,6202.36,-45.92,35.2,2018-03-04,2018-07-24,30.0,0.8912,4,14
2017,22,2018-08-12,764,6269.01,-36.03,17.4,2018-05-05,2018-09-04,47.0,0.6143,4,14
2017,23,2018-09-10,793,6300.0,-24.87,7.14,2018-07-24,2018-09-21,29.0,0.4001,4,5
2017,24,2018-10-12,825,6196.0,-15.82,4.96,2018-09-04,2018-11-07,32.0,0.2877,2,5
2017,25,2018-11-25,869,3731.32,-43.53,13.85,2018-10-08,2018-11-29,44.0,0.6538,2,5
2017,26,2018-12-13,887,3265.0,-55.64,169.01,2018-09-04,2019-05-27,18.0,2.3265,4,14
2017,27,2019-02-04,940,3437.5,-48.07,275.35,2018-09-28,2019-06-26,53.0,3.3142,4,14
2017,28,2019-03-02,966,3792.14,-7.73,137.25,2019-02-23,2019-06-16,26.0,1.5299,3,9
2017,29,2019-04-26,1021,5170.6,-6.55,149.54,2019-04-23,2019-06-26,55.0,1.6408,2,5
2017,30,2019-05-17,1042,7363.69,-10.24,75.22,2019-05-15,2019-06-26,21.0,0.9345,1,3
2017,31,2019-06-07,1063,7766.91,-11.57,66.12,2019-05-27,2019-06-26,21.0,0.8569,4,3
2017,32,2019-07-17,1103,9436.0,-26.87,27.36,2019-06-26,2019-08-08,40.0,0.6223,3,5
2017,33,2019-08-29,1146,9580.6,-23.72,10.94,2019-07-09,2019-09-03,43.0,0.4266,4,5
2017,34,2019-10-21,1199,7954.16,-38.35,30.5,2019-06-26,2020-02-14,53.0,0.7685,4,14
2017,35,2019-11-24,1233,6906.25,-27.84,37.46,2019-10-27,2020-01-30,34.0,0.733,2,5
2017,36,2019-12-16,1255,6618.62,-30.84,56.83,2019-10-27,2020-02-14,22.0,0.9567,4,9
2017,37,2020-01-24,1294,8424.96,-5.35,23.21,2020-01-18,2020-02-14,39.0,0.3655,2,3
2017,38,2020-03-15,1345,5074.2,-51.12,97.22,2020-02-14,2020-05-07,51.0,1.5634,4,9
2017,39,2020-04-14,1375,6871.0,-31.04,45.65,2020-02-23,2020-05-07,30.0,0.8469,3,5
2021,1,2020-05-25,14,8892.39,-9.4,38.6,2020-05-14,2020-08-17,,0.56,3,9
2021,2,2020-07-01,51,9239.09,-9.53,113.52,2020-06-01,2020-11-30,37.0,1.3105,4,14
2021,3,2020-09-06,118,10345.95,-16.06,456.14,2020-08-17,2021-02-21,67.0,4.802,4,14
2021,4,2020-12-10,213,18286.8,-7.3,206.39,2020-11-30,2021-02-19,95.0,2.2169,2,5
2021,5,2021-01-25,259,30552.06,-24.87,108.37,2021-01-08,2021-04-13,46.0,1.4124,4,14
2021,6,2021-02-28,293,45973.56,-20.1,38.47,2021-02-21,2021-04-13,34.0,0.6657,4,3
2021,7,2021-03-24,317,51386.2,-15.94,23.89,2021-03-13,2021-04-13,24.0,0.4783,3,9
2021,8,2021-04-24,348,49272.06,-22.6,19.83,2021-04-13,2021-05-08,31.0,0.5044,3,9
2021,9,2021-06-06,391,36895.48,-42.04,82.98,2021-04-13,2021-11-08,43.0,1.3302,3,14
2021,10,2021-07-18,433,31503.78,-50.51,114.29,2021-04-13,2021-11-08,42.0,1.7281,4,14
