cycle,to_anchor_index,interval_days,interval_div_span
2017,2,25,0.0185
2017,3,25,0.0185
2017,4,43,0.0319
2017,5,70,0.0519
2017,6,28,0.0207
2017,7,42,0.0311
2017,8,21,0.0156
2017,9,43,0.0319
2017,10,49,0.0363
2017,11,36,0.0267
2017,12,29,0.0215
2017,13,37,0.0274
2017,14,18,0.0133
2017,15,27,0.02
2017,16,20,0.0148
2017,17,40,0.0296
2017,18,37,0.0274
2017,19,21,0.0156
2017,20,51,0.0378
2017,21,30,0.0222
2017,22,47,0.0348
2017,23,29,0.0215
2017,24,32,0.0237
2017,25,44,0.0326
2017,26,18,0.0133
2017,27,53,0.0393
2017,28,26,0.0193
2017,29,55,0.0407
2017,30,21,0.0156
2017,31,21,0.0156
2017,32,40,0.0296
2017,33,43,0.0319
2017,34,53,0.0393
2017,35,34,0.0252
2017,36,22,0.0163
2017,37,39,0.0289
2017,38,51,0.0378
2017,39,30,0.0222
2021,2,37,0.0265
2021,3,67,0.048
2021,4,95,0.0681
2021,5,46,0.033
2021,6,34,0.0244
2021,7,24,0.0172
2021,8,31,0.0222
2021,9,43,0.0308
2021,10,42,0.0301
2021,11,69,0.0494
2021,12,31,0.0222
2021,13,32,0.0229
2021,14,21,0.015
2021,15,37,0.0265
2021,16,42,0.0301
2021,17,79,0.0566
2021,18,38,0.0272
2021,19,22,0.0158
2021,20,61,0.0437
2021,21,19,0.0136
2021,22,41,0.0294
2021,23,38,0.0272
2021,24,43,0.0308
2021,25,25,0.0179
2021,26,45,0.0322
2021,27,32,0.0229
2021,28,20,0.0143
2021,29,88,0.063
2021,30,33,0.0236
2021,31,78,0.0559
2021,32,24,0.0172
2021,33,59,0.0423
2025,2,68,0.0976
2025,3,29,0.0416
2025,4,31,0.0445
2025,5,27,0.0387
2025,6,30,0.043
2025,7,23,0.033
2025,8,33,0.0473
2025,9,72,0.1033
2025,10,26,0.0373
2025,11,60,0.0861
2025,12,58,0.0832
2025,13,28,0.0402
2025,14,27,0.0387
2025,15,21,0.0301
2025,16,37,0.0531
2025,17,26,0.0373
2025,18,68,0.0976
2025,19,33,0.0473
