from_cycle,to_cycle,from_index,to_index,from_date,to_date,target_date,span_days,date_delta_days,abs_date_delta_days,from_kind,to_kind,from_group,to_group,from_days_from_halving,to_days_from_halving,phase_delta_days,score
2017,2021,1,1,2016-08-04,2020-06-08,2020-06-06,1402,2,2,drop_end,rally_end,low_or_start,high_or_end,26,28,2,35.2695
2017,2021,2,3,2016-10-19,2020-08-16,2020-08-21,1402,-5,5,up_to_up,rally_end,up_continuation,high_or_end,102,97,-5,38.422
2017,2021,3,5,2017-01-03,2020-09-18,2020-11-05,1402,-48,48,rally_end,rally_end,high_or_end,high_or_end,178,130,-48,54.642
2017,2021,4,6,2017-01-13,2020-10-05,2020-11-15,1402,-41,41,drop_end,drop_end,low_or_start,low_or_start,188,147,-41,45.1625
2017,2021,5,8,2017-03-04,2021-01-08,2021-01-04,1402,4,4,rally_end,rally_end,high_or_end,high_or_end,238,242,4,6.846
2017,2021,6,9,2017-03-26,2021-01-25,2021-01-26,1402,-1,1,drop_end,drop_end,low_or_start,low_or_start,260,259,-1,1.281
2017,2021,7,11,2017-06-09,2021-04-14,2021-04-11,1402,3,3,rally_end,rally_end,high_or_end,high_or_end,335,338,3,7.24
2017,2021,8,13,2017-07-17,2021-06-06,2021-05-19,1402,18,18,drop_end,drop_end,low_or_start,low_or_start,373,391,18,20.3745
2017,2021,9,12,2017-08-15,2021-05-21,2021-06-17,1402,-27,27,up_to_up,down_to_down,up_continuation,down_continuation,402,375,-27,65.16
2017,2021,10,14,2017-09-01,2021-06-15,2021-07-04,1402,-19,19,rally_end,rally_end,high_or_end,high_or_end,419,400,-19,20.551
2017,2021,11,15,2017-09-23,2021-07-18,2021-07-26,1402,-8,8,drop_end,drop_end,low_or_start,low_or_start,441,433,-8,8.6475
2017,2021,12,16,2017-11-12,2021-08-11,2021-09-14,1402,-34,34,up_to_up,up_to_up,up_continuation,up_continuation,491,457,-34,37.9115
2017,2021,13,19,2017-12-17,2021-11-10,2021-10-19,1402,22,22,rally_end,rally_end,high_or_end,high_or_end,526,548,22,27.76
2017,2021,15,21,2018-03-03,2022-02-08,2022-01-03,1402,36,36,rally_end,rally_end,high_or_end,high_or_end,602,638,36,40.1595
2017,2021,16,20,2018-04-06,2022-01-23,2022-02-06,1402,-14,14,drop_end,drop_end,low_or_start,low_or_start,636,622,-14,15.3925
2017,2021,17,23,2018-05-05,2022-04-03,2022-03-07,1402,27,27,rally_end,rally_end,high_or_end,high_or_end,665,692,27,30.135
2017,2021,18,24,2018-06-26,2022-05-11,2022-04-28,1402,13,13,drop_end,drop_end,low_or_start,low_or_start,717,730,13,14.098
2017,2021,19,25,2018-07-26,2022-06-08,2022-05-28,1402,11,11,rally_end,drop_start,high_or_end,high_or_end,747,758,11,25.482
2017,2021,20,26,2018-08-12,2022-06-18,2022-06-14,1402,4,4,drop_end,drop_end,low_or_start,low_or_start,764,768,4,4.8075
2017,2021,21,27,2018-09-02,2022-08-14,2022-07-05,1402,40,40,rally_end,rally_end,high_or_end,high_or_end,785,825,40,43.412
2017,2021,22,28,2018-11-08,2022-09-06,2022-09-10,1402,-4,4,down_to_down,down_to_down,down_continuation,down_continuation,852,848,-4,4.744
2017,2021,23,30,2018-12-22,2022-11-05,2022-10-24,1402,12,12,down_to_down,rally_end,down_continuation,high_or_end,896,908,12,47.345
2017,2021,24,31,2019-02-05,2022-11-22,2022-12-08,1402,-16,16,drop_end,drop_end,low_or_start,low_or_start,941,925,-16,17.645
