index_2017,index_2021,index_2025,date_2017,date_2021,date_2025,kind_2017,kind_2021,kind_2025,delta_2017_to_2021,delta_2021_to_2025,score_sum
1,1,2,2016-08-04,2020-06-08,2024-06-06,drop_end,rally_end,rally_end,2,19,56.187
2,3,4,2016-10-19,2020-08-16,2024-07-28,up_to_up,rally_end,rally_end,-5,2,41.1915
3,5,7,2017-01-03,2020-09-18,2024-09-26,rally_end,rally_end,rally_end,-48,29,86.4495
4,6,6,2017-01-13,2020-10-05,2024-09-07,drop_end,drop_end,drop_end,-41,-7,53.164
5,8,12,2017-03-04,2021-01-08,2024-12-14,rally_end,rally_end,rally_end,4,-4,15.166
6,9,13,2017-03-26,2021-01-25,2025-01-03,drop_end,drop_end,drop_end,-1,-1,3.043
7,11,18,2017-06-09,2021-04-14,2025-03-24,rally_end,rally_end,rally_end,3,0,7.594
8,13,19,2017-07-17,2021-06-06,2025-04-07,drop_end,drop_end,drop_end,18,-39,62.626
9,12,21,2017-08-15,2021-05-21,2025-06-10,up_to_up,down_to_down,drop_start,-27,41,143.39
10,14,20,2017-09-01,2021-06-15,2025-05-22,rally_end,rally_end,rally_end,-19,-3,25.0955
11,15,22,2017-09-23,2021-07-18,2025-06-20,drop_end,drop_end,drop_end,-8,-7,17.022
12,16,23,2017-11-12,2021-08-11,2025-07-12,up_to_up,up_to_up,rally_end,-34,-9,81.2905
13,19,29,2017-12-17,2021-11-10,2025-10-26,rally_end,rally_end,rally_end,22,6,36.834
15,21,35,2018-03-03,2022-02-08,2026-01-15,rally_end,rally_end,rally_end,36,-3,43.9795
16,20,34,2018-04-06,2022-01-23,2025-12-30,drop_end,drop_end,rally_start,-14,-3,32.9405
17,23,38,2018-05-05,2022-04-03,2026-03-16,rally_end,rally_end,rally_end,27,3,33.966
18,24,39,2018-06-26,2022-05-11,2026-03-29,drop_end,drop_end,drop_end,13,-22,39.2215
19,25,40,2018-07-26,2022-06-08,2026-05-08,rally_end,drop_start,rally_end,11,-10,49.2345
