left_date,left_rel,left_kind,left_px,model_date,model_rel,projected_price,projected_dd_pct
2021-11-08,0,peak,67510.06,2025-08-07,-59,124720.09,0.0
2021-11-10,2,rally_end,64896.86,2025-08-09,-57,122282.4159886202,-1.9545159175075932
2022-01-23,76,drop_end,36233.04,2025-10-22,17,91370.19574443625,-26.739793288766666
2022-02-08,92,rally_end,44147.59,2025-11-07,33,100856.91244767458,-19.133387052819973
2022-02-22,106,drop_end,38261.46,2025-11-21,47,93892.93991196436,-24.717068507596196
2022-04-03,146,rally_end,46358.05,2025-12-31,87,103351.01552878635,-17.13362656426375
2022-05-11,184,drop_end,29027.82,2026-02-07,125,81782.31111644031,-34.42731550591384
2022-06-08,212,drop_start,30195.33,2026-03-07,153,83410.75624334654,-33.12163562153737
2022-06-18,222,drop_end,18989.21,2026-03-17,163,66146.30929397968,-46.96419053740285
2022-08-14,279,rally_end,24301.71,2026-05-13,220,74829.1109866136,-40.00235969472633
2022-09-06,302,down_to_down,18777.0,2026-06-05,243,65775.66866148262,-47.26136850808669
2022-09-23,319,drop_end,19304.43,2026-06-22,260,66693.06243786914,-46.52580635736461
2022-11-05,362,rally_end,21304.72,2026-08-04,303,70063.21855300841,-43.82363053698213
2022-11-22,379,drop_end,16206.32,2026-08-21,320,61107.479897682206,-51.0043009929818
2022-12-13,400,rally_end,17763.65,2026-09-11,341,63976.175208997985,-48.70419416070179
2023-01-05,423,drop_end,16824.98,2026-10-04,364,62262.91463677964,-50.077878682752996
2023-02-19,468,rally_end,24316.05,2026-11-18,409,74851.18538387743,-39.98466054356003
2023-03-10,487,drop_end,20227.02,2026-12-07,428,68268.14787395882,-45.26291003000493
