cycle,date,days_from_halving,price,kind,prev_days,next_days,prev_move_pct,next_move_pct,prev_slope,next_slope,score,anchor_index,interval_from_prev_days
2017,2016-08-04,26,587.5,drop_end,26,76,-12.15,10.17,-0.004981,0.001274,14.1574,1,
2017,2016-10-19,102,629.79,up_to_up,76,76,10.17,63.02,0.001274,0.00643,30.188,2,76.0
2017,2017-01-03,178,1020.67,rally_end,76,10,63.02,-20.49,0.00643,-0.022927,210.7636,3,76.0
2017,2017-01-13,188,831.42,drop_end,10,50,-20.49,56.09,-0.022927,0.008905,214.712,4,10.0
2017,2017-03-04,238,1273.97,rally_end,50,22,56.09,-22.59,0.008905,-0.011638,144.0633,5,50.0
2017,2017-03-26,260,973.08,drop_end,22,75,-22.59,186.95,-0.011638,0.014055,336.6254,6,22.0
2017,2017-06-09,335,2811.39,rally_end,75,38,186.95,-25.11,0.014055,-0.00761,291.0403,7,75.0
2017,2017-07-17,373,2235.19,drop_end,38,29,-25.11,98.98,-0.00761,0.023724,306.1994,8,38.0
2017,2017-08-15,402,4159.93,up_to_up,29,17,98.98,11.13,0.023724,0.006207,139.0035,9,29.0
2017,2017-09-01,419,4947.99,rally_end,17,22,11.13,-20.97,0.006207,-0.0107,57.6394,10,17.0
2017,2017-09-23,441,3787.33,drop_end,22,50,-20.97,71.59,-0.0107,0.010799,166.6898,11,22.0
2017,2017-11-12,491,5886.35,up_to_up,50,35,71.59,193.09,0.010799,0.030723,321.8193,12,50.0
2017,2017-12-17,526,19378.99,rally_end,35,51,193.09,-58.87,0.030723,-0.017421,945.4391,13,35.0
2017,2018-02-06,577,7688.46,drop_end,51,25,-58.87,45.95,-0.017421,0.015125,412.227,14,51.0
2017,2018-03-03,602,11432.5,rally_end,25,34,45.95,-39.28,0.015125,-0.014672,261.3068,15,25.0
2017,2018-04-06,636,6619.01,drop_end,34,29,-39.28,41.22,-0.014672,0.011901,224.2667,16,34.0
2017,2018-05-05,665,9800.0,rally_end,29,52,41.22,-36.78,0.011901,-0.008819,166.5242,17,29.0
2017,2018-06-26,717,6074.0,drop_end,52,30,-36.78,34.27,-0.008819,0.009823,140.4231,18,52.0
2017,2018-07-26,747,7931.99,rally_end,30,17,34.27,-23.82,0.009823,-0.016001,146.3494,19,30.0
2017,2018-08-12,764,6316.01,drop_end,17,21,-23.82,15.95,-0.016001,0.007048,96.8116,20,17.0
2017,2018-09-02,785,7295.0,rally_end,21,67,15.95,-11.28,0.007048,-0.001787,23.6527,21,21.0
2017,2018-11-08,852,6406.24,down_to_down,67,44,-11.28,-37.98,-0.001787,-0.010858,54.1972,22,67.0
2017,2018-12-22,896,3980.46,down_to_down,44,45,-37.98,-14.55,-0.010858,-0.003494,46.7591,23,44.0
2017,2019-02-05,941,3428.4,drop_end,45,50,-14.55,17.53,-0.003494,0.00323,21.435,24,45.0
2017,2019-03-27,991,4026.53,up_to_up,50,92,17.53,200.31,0.00323,0.011953,110.0,25,50.0
2017,2019-06-27,1083,11127.4,rally_end,92,31,200.31,-20.0,0.011953,-0.007199,253.3326,26,92.0
2017,2019-07-28,1114,9549.7,drop_end,31,10,-20.0,23.34,-0.007199,0.020975,121.9652,27,31.0
2017,2019-08-07,1124,12014.41,rally_end,10,23,23.34,-18.52,0.020975,-0.008904,123.8587,28,10.0
2017,2019-08-30,1147,9580.6,drop_end,23,19,-18.52,6.03,-0.008904,0.003081,31.5592,29,23.0
2017,2019-09-18,1166,10155.26,rally_end,19,10,6.03,-20.03,0.003081,-0.02235,71.7255,30,19.0
2017,2019-09-28,1176,8228.22,down_to_down,10,24,-20.03,-3.72,-0.02235,-0.001579,54.2965,31,10.0
2017,2019-10-22,1200,8008.04,drop_end,24,14,-3.72,18.18,-0.001579,0.011932,27.6888,32,24.0
2017,2019-11-05,1214,9314.99,rally_end,14,40,18.18,-24.92,0.011932,-0.007166,86.6388,33,14.0
2017,2019-12-15,1254,7111.0,drop_end,40,60,-24.92,46.53,-0.007166,0.006368,90.5022,34,40.0
2017,2020-02-13,1314,10239.57,rally_end,60,30,46.53,-48.89,0.006368,-0.022375,302.757,35,60.0
2017,2020-03-14,1344,5182.62,drop_end,30,58,-48.89,71.26,-0.022375,0.009277,382.7536,36,30.0
2021,2020-06-08,28,9833.94,rally_end,28,40,10.04,-6.34,0.003417,-0.001638,8.1476,1,
2021,2020-07-18,68,9174.6,drop_end,40,29,-6.34,30.61,-0.001638,0.009208,36.0676,2,40.0
2021,2020-08-16,97,11924.0,rally_end,29,20,30.61,-14.39,0.009208,-0.007766,71.6888,3,29.0
2021,2020-09-05,117,10152.97,drop_end,20,13,-14.39,6.98,-0.007766,0.005189,28.8623,4,20.0
2021,2020-09-18,130,10942.2,rally_end,13,17,6.98,-2.84,0.005189,-0.001696,6.6303,5,13.0
2021,2020-10-05,147,10800.0,drop_end,17,69,-2.84,77.8,-0.001696,0.00834,60.6495,6,17.0
