seg_id,seg_label,anchor,red_anchor,green_anchor,anchor_gap_days,red_start,red_end,green_start,green_end,red_days,green_days,time_ratio,red_log_move,green_log_move,amp_ratio,manual_amp,manual_time,manual_shift,note,recorded_at
1,顶前半年,peak,2021-11-08,2025-08-12,1373,2021-05-08,2021-11-08,2025-02-12,2025-08-12,,,,,,,,,,,
2,顶后半年,peak,2021-11-08,2025-08-12,1373,2021-11-08,2022-05-08,2025-08-12,2026-02-12,,,,,,,,,,,
3,顶前一年,peak,2021-11-08,2025-08-12,1373,2020-11-08,2021-11-08,2024-08-12,2025-08-12,,,,,,,,,,,
4,顶后一年,peak,2021-11-08,2025-08-12,1373,2021-11-08,2022-11-08,2025-08-12,2026-08-12,,,,,,,,,,绿只到+292d,
5,顶前两年,peak,2021-11-08,2025-08-12,1373,2019-11-08,2021-11-08,2023-08-12,2025-08-12,,,,,,,,,,,
6,顶前三年,peak,2021-11-08,2025-08-12,1373,2018-11-08,2021-11-08,2022-08-12,2025-08-12,,,,,,,,,,,
7,底前半年,bottom,2022-11-21,2026-02-05,1172,2022-05-21,2022-11-21,2025-08-05,2026-02-05,,,,,,,,,,,
8,底后半年,bottom,2022-11-21,2026-02-05,1172,2022-11-21,2023-05-21,2026-02-05,2026-08-05,,,,,,,,,,绿只到+115d,
9,底前一年,bottom,2022-11-21,2026-02-05,1172,2021-11-21,2022-11-21,2025-02-05,2026-02-05,,,,,,,,,,,
10,底后一年,bottom,2022-11-21,2026-02-05,1172,2022-11-21,2023-11-21,2026-02-05,2027-02-05,,,,,,,,,,绿只到+115d,
