cycle,anchor_index,date,days_from_halving,price,drop_pct,rally_pct,left_peak_date,right_peak_date,left_days,right_days,left_down_ratio,right_up_ratio,slope_flip,score,interval_from_prev_days
2017,1,2016-08-29,51,573.21,-15.7044,45.5836,2016-07-17,2016-12-21,43,114,0.75,0.6842,0.0073,9.0197,
2017,2,2016-09-23,76,602.96,-11.3294,87.4585,2016-07-17,2017-01-04,68,103,0.5625,0.8421,0.0079,13.0715,25.0
2017,3,2017-01-13,188,831.42,-26.4425,260.7058,2017-01-04,2017-06-11,9,149,0.3091,0.6923,0.0427,346.0879,112.0
2017,4,2017-03-10,244,1109.01,-14.2204,13.8854,2017-03-03,2017-03-15,7,5,0.6,0.3333,0.0479,10.5969,56.0
2017,5,2017-03-24,258,934.87,-27.6898,2001.8976,2017-03-03,2017-12-16,21,267,0.3778,0.7238,0.0268,1926.1082,14.0
2017,6,2017-04-15,280,1178.85,-8.8184,154.3988,2017-03-03,2017-06-11,43,57,0.2778,1.0,0.0185,35.4301,22.0
2017,7,2017-06-16,342,2480.43,-17.2909,76.1795,2017-06-11,2017-08-16,5,61,0.3889,0.4545,0.0473,64.9068,62.0
2017,8,2017-07-01,357,2423.63,-19.1849,33.8278,2017-06-11,2017-08-05,20,35,0.9,0.3333,0.019,17.2407,15.0
2017,9,2017-07-16,372,1911.78,-36.2523,927.8385,2017-06-11,2017-12-16,35,153,0.5636,0.6308,0.0281,1353.3178,15.0
2017,10,2017-08-20,407,4050.99,-7.3002,22.1427,2017-08-16,2017-09-01,4,12,0.4,1.0,0.0356,9.2124,35.0
2017,11,2017-09-22,440,3619.01,-26.859,442.9664,2017-09-01,2017-12-16,21,85,0.5625,0.7632,0.0348,656.0901,33.0
2017,12,2017-11-12,491,5886.35,-21.1786,233.8233,2017-11-08,2017-12-16,4,34,0.6,1.0,0.095,902.7848,51.0
2017,13,2017-12-30,539,12839.99,-34.6566,33.1698,2017-12-16,2018-01-06,14,7,0.7,0.5,0.0713,117.2334,48.0
2017,14,2018-02-06,577,7688.46,-52.4647,49.1833,2018-01-07,2018-03-04,30,26,1.0,1.0,0.0402,265.3864,38.0
2017,15,2018-02-24,595,9688.62,-43.3381,18.3853,2018-01-06,2018-03-04,49,8,0.2778,0.4091,0.0327,23.0712,18.0
2017,16,2018-04-07,637,6894.01,-64.916,42.1524,2017-12-16,2018-05-05,112,28,0.6889,0.5714,0.0219,90.5362,42.0
2017,17,2018-05-28,688,7107.94,-27.47,17.9737,2018-05-05,2018-07-24,23,57,0.8889,0.5909,0.0169,14.7636,51.0
2017,18,2018-06-26,717,6074.0,-69.0891,38.0556,2017-12-16,2018-07-24,192,28,0.5444,0.5524,0.0176,61.1403,29.0
2017,19,2018-07-12,733,6249.75,-68.1947,34.1734,2017-12-16,2018-07-24,208,12,0.5,0.5143,0.03,85.7059,16.0
2017,20,2018-09-10,793,6300.0,-67.9389,104.8019,2017-12-16,2019-06-26,268,289,0.4444,0.381,0.0067,49.0587,60.0
2017,21,2018-11-26,870,3731.32,-42.6226,13.8471,2018-11-07,2018-11-29,19,3,1.0,0.3333,0.0725,63.8696,77.0
2017,22,2018-12-14,888,3195.71,-61.89,303.745,2018-07-24,2019-06-26,143,194,0.7273,0.5077,0.0139,385.2761,18.0
2017,23,2018-12-29,903,3729.31,-42.6535,10.2081,2018-11-07,2019-02-23,52,56,0.5,0.5,0.0124,6.5482,15.0
2017,24,2019-02-05,941,3428.4,-60.53,276.3423,2018-05-13,2019-06-26,268,141,0.6667,0.7143,0.0129,358.3361,38.0
2017,25,2019-07-02,1088,10885.01,-15.6366,15.3831,2019-06-26,2019-07-09,6,7,0.5,0.6667,0.0488,16.3488,147.0
2017,26,2019-07-28,1114,9549.7,-23.9641,25.8457,2019-07-09,2019-08-08,19,11,0.8,0.9167,0.0353,46.4476,26.0
2017,27,2019-08-30,1147,9580.6,-20.2805,10.9373,2019-08-08,2019-09-03,22,4,0.7,0.5,0.0363,11.4987,33.0
2017,28,2019-10-06,1184,7862.67,-37.3964,21.7218,2019-07-09,2019-10-27,89,21,0.75,0.4737,0.0146,17.2172,37.0
2017,29,2019-10-22,1200,8008.04,-33.3657,29.1703,2019-08-08,2020-02-12,75,113,0.6562,0.4211,0.0077,9.5852,16.0
2017,30,2019-11-24,1233,6906.25,-46.4736,50.2986,2019-06-26,2020-02-14,151,82,0.6364,0.6,0.0091,31.5874,33.0
2017,31,2019-12-15,1254,7111.0,-43.3813,45.971,2019-07-09,2020-02-14,159,61,0.6364,0.6769,0.0098,30.7862,21.0
2017,32,2020-01-01,1271,7174.32,-44.396,44.6827,2019-06-26,2020-02-14,189,44,0.5889,0.581,0.0115,32.0304,17.0
2017,33,2020-02-28,1329,8713.16,-16.0582,5.1625,2020-02-14,2020-03-06,14,7,0.9,0.3333,0.0197,2.2857,58.0
2017,34,2020-03-14,1344,5182.62,-50.0711,93.0985,2020-02-14,2020-05-07,29,54,0.7778,0.7727,0.0361,318.5946,15.0
2017,35,2020-03-29,1359,5897.55,-43.1835,69.6901,2020-02-14,2020-05-07,44,39,0.5455,0.7674,0.0264,124.4825,15.0
2021,1,2020-05-24,13,8673.64,-11.6307,17.7404,2020-05-14,2020-06-01,10,8,0.7,0.8333,0.0328,12.6023,
2021,2,2020-06-28,48,9122.56,-10.6716,35.1057,2020-06-01,2020-08-17,27,50,0.625,0.6842,0.0102,6.0099,35.0
2021,3,2020-07-18,68,9174.6,-10.162,34.3394,2020-06-01,2020-08-17,47,30,0.6111,0.9091,0.0121,7.7299,20.0
2021,4,2020-09-06,118,10255.2,-16.7942,496.09,2020-08-17,2021-03-13,20,188,0.4727,0.8,0.0187,233.836,50.0
2021,5,2020-09-23,135,10230.11,-16.9978,497.5519,2020-08-17,2021-03-13,37,171,0.4727,0.8154,0.0155,198.8973,17.0
2021,6,2020-11-27,200,17156.99,-10.5711,256.2992,2020-11-24,2021-03-13,3,106,0.1562,0.7895,0.0492,140.1542,65.0
2021,7,2021-01-25,259,31979.0,-21.3632,79.9258,2021-01-08,2021-02-21,17,27,0.9,1.0,0.0359,147.0818,59.0
2021,8,2021-02-27,292,45973.56,-20.0994,32.9682,2021-02-21,2021-03-13,6,14,0.7,0.9167,0.0578,75.4519,33.0
2021,9,2021-03-24,317,52294.65,-14.4537,21.7351,2021-03-13,2021-04-13,11,20,0.7,0.6667,0.024,12.4287,25.0
2021,10,2021-04-23,347,51231.69,-19.5241,15.2513,2021-04-13,2021-05-08,10,15,0.8,0.75,0.0312,17.5499,30.0
2021,11,2021-05-23,377,34927.4,-45.1353,93.2868,2021-04-13,2021-11-08,40,169,0.5455,0.5077,0.0189,101.0077,30.0
2021,12,2021-07-18,433,31753.02,-50.1217,112.6099,2021-04-13,2021-11-08,96,113,0.7188,0.7368,0.0139,138.5186,56.0
2021,13,2021-08-03,449,38207.27,-9.4377,37.9088,2021-07-30,2021-09-06,4,34,0.4,0.9167,0.0342,18.5776,16.0
2021,14,2021-08-17,463,44718.51,-6.3789,17.8286,2021-08-13,2021-09-06,4,20,0.3,0.5833,0.0247,2.9894,14.0
2021,15,2021-09-11,488,45127.48,-14.3548,36.685,2021-09-06,2021-10-15,5,34,0.7,0.5,0.0402,30.2595,25.0
2021,16,2021-09-27,504,42214.52,-19.8832,59.9214,2021-09-06,2021-11-08,21,42,0.6111,1.0,0.0217,50.1807,16.0
2021,17,2021-10-26,533,60341.21,-8.5811,11.8805,2021-10-20,2021-11-08,6,13,0.7,0.75,0.0236,4.2204,29.0
2021,18,2022-01-09,608,41838.78,-17.7078,6.1287,2021-12-26,2022-02-09,14,31,0.9,0.4167,0.0158,2.6215,75.0
2021,19,2022-01-23,622,36233.04,-28.7337,22.7325,2021-12-26,2022-02-15,28,23,0.9,0.8333,0.021,29.4972,14.0
2021,20,2022-02-22,652,38261.46,-43.3248,23.9648,2021-11-08,2022-03-29,106,35,0.6111,0.4667,0.0115,15.4179,30.0
2021,21,2022-03-13,671,37780.14,-44.0378,25.5441,2021-11-08,2022-03-29,125,16,0.5444,0.419,0.0189,24.7452,19.0
