series,date,rel_day,price,log_norm,rel_plot,log_plot
left,2020-11-08,-365.0,15487.88,-1.4722188412402837,-200.0,-0.40486018134107804
left,2020-11-09,-364.0,15334.37,-1.4821799095793327,-199.0,-0.4075994751343165
left,2020-11-10,-363.0,15325.25,-1.482774828907686,-198.0,-0.4077630779496137
left,2020-11-11,-362.0,15723.81,-1.4571004997633252,-197.0,-0.40070263743491447
left,2020-11-12,-361.0,16319.72,-1.41990243128457,-196.0,-0.3904731686032568
left,2020-11-13,-360.0,16339.59,-1.4186856264928185,-195.0,-0.3901385472855251
left,2020-11-14,-359.0,16093.3,-1.433873587502565,-194.0,-0.3943152365632054
left,2020-11-15,-358.0,15946.64,-1.4430284750785396,-193.0,-0.3968328306465984
left,2020-11-16,-357.0,16714.58,-1.3959952313855541,-192.0,-0.38389868863102744
left,2020-11-17,-356.0,17660.9,-1.3409234673059354,-191.0,-0.36875395350913226
left,2020-11-18,-355.0,17802.82,-1.3329197520945004,-190.0,-0.36655293182598764
left,2020-11-19,-354.0,17804.44,-1.3328287594148547,-189.0,-0.3665279088390851
left,2020-11-20,-353.0,18702.87,-1.2835996357904622,-188.0,-0.35298989984237716
left,2020-11-21,-352.0,18710.14,-1.283211000922992,-187.0,-0.3528830252538228
left,2020-11-22,-351.0,18477.48,-1.2957239305317967,-186.0,-0.3563240808962441
left,2020-11-23,-350.0,18391.21,-1.3004037907302763,-185.0,-0.35761104245082603
left,2020-11-24,-349.0,19185.07,-1.2581442514344785,-184.0,-0.3459896691444816
left,2020-11-25,-348.0,18706.15,-1.2834242770129047,-183.0,-0.3529416761785488
left,2020-11-26,-347.0,17173.0,-1.3689382408088802,-182.0,-0.37645801622244207
left,2020-11-27,-346.0,17156.99,-1.3698709530619664,-181.0,-0.37671451209204077
left,2020-11-28,-345.0,17718.3,-1.3376786200304813,-180.0,-0.3678616205083824
left,2020-11-29,-344.0,18238.52,-1.3087407828073534,-179.0,-0.3599037152720222
left,2020-11-30,-343.0,19727.0,-1.2302883680488736,-178.0,-0.3383293012134403
left,2020-12-01,-342.0,18763.35,-1.280371124745935,-177.0,-0.35210205930513216
left,2020-12-02,-341.0,19245.61,-1.2549936410326636,-176.0,-0.3451232512839825
left,2020-12-03,-340.0,19430.07,-1.2454547577514723,-175.0,-0.3425000583816549
left,2020-12-04,-339.0,18692.32,-1.2841638794955963,-174.0,-0.353145066861289
left,2020-12-05,-338.0,19156.82,-1.2596178358150063,-173.0,-0.3463949048491268
left,2020-12-06,-337.0,19397.08,-1.2471540845338294,-172.0,-0.3429673732468031
left,2020-12-07,-336.0,19202.88,-1.2572163560257446,-171.0,-0.3457344979070798
left,2020-12-08,-335.0,18311.76,-1.3047331474061215,-170.0,-0.35880161553668344
left,2020-12-09,-334.0,18550.01,-1.2918062956737486,-169.0,-0.3552467313102809
left,2020-12-10,-333.0,18286.8,-1.306097135708927,-168.0,-0.35917671231995496
left,2020-12-11,-332.0,18048.14,-1.3192339914328446,-167.0,-0.3627893476440323
left,2020-12-12,-331.0,18826.36,-1.2770186083782362,-166.0,-0.351180117304015
left,2020-12-13,-330.0,19133.04,-1.2608599402811684,-165.0,-0.34673648357732134
left,2020-12-14,-329.0,19288.43,-1.2527711895261497,-164.0,-0.34451207711969123
left,2020-12-15,-328.0,19451.34,-1.2443606615177316,-163.0,-0.3421991819173762
left,2020-12-16,-327.0,21384.63,-1.149604184128501,-162.0,-0.31614115063533776
left,2020-12-17,-326.0,22830.34,-1.0841862706947325,-161.0,-0.29815122444105147
left,2020-12-18,-325.0,23169.26,-1.0694502237270136,-160.0,-0.2940988115249288
left,2020-12-19,-324.0,23814.91,-1.0419647686957225,-159.0,-0.28654031139132374
left,2020-12-20,-323.0,23451.68,-1.0573344896934227,-158.0,-0.2907669846656913
left,2020-12-21,-322.0,22777.26,-1.0865139539741029,-157.0,-0.2987913373428783
left,2020-12-22,-321.0,23839.99,-1.0409122010766314,-156.0,-0.28625085529607364
left,2020-12-23,-320.0,23196.57,-1.0682722008960512,-155.0,-0.2937748552464141
left,2020-12-24,-319.0,23740.01,-1.0451148133991806,-154.0,-0.2874065736847747
left,2020-12-25,-318.0,24736.42,-1.0039999722483175,-153.0,-0.27609999236828736
left,2020-12-26,-317.0,26519.1,-0.9344113957203886,-152.0,-0.25696313382310687
left,2020-12-27,-316.0,26320.06,-0.9419452377208288,-151.0,-0.25903494037322794
left,2020-12-28,-315.0,27044.14,-0.9148062778465715,-150.0,-0.2515717264078072
left,2020-12-29,-314.0,27407.85,-0.9014471550984584,-149.0,-0.24789796765207608
left,2020-12-30,-313.0,28934.56,-0.8472398953977446,-148.0,-0.23299097123437978
left,2020-12-31,-312.0,29026.97,-0.8440512260061991,-147.0,-0.23211408715170476
left,2021-01-01,-311.0,29391.09,-0.8315850566227925,-146.0,-0.22868589057126795
left,2021-01-02,-310.0,32244.73,-0.7389220047745451,-145.0,-0.2032035513129999
left,2021-01-03,-309.0,33134.1,-0.7117136602508873,-144.0,-0.19572125656899403
left,2021-01-04,-308.0,32127.31,-0.7425701765655921,-143.0,-0.20420679855553783
left,2021-01-05,-307.0,34131.23,-0.682063822865715,-142.0,-0.18756755128807165
left,2021-01-06,-306.0,36979.81,-0.6019045357772108,-141.0,-0.16552374733873298
left,2021-01-07,-305.0,39573.39,-0.534119701119969,-140.0,-0.14688291780799148
left,2021-01-08,-304.0,40666.72,-0.5068665562709086,-139.0,-0.1393883029744999
left,2021-01-09,-303.0,40346.3,-0.5147769309447345,-138.0,-0.141563656009802
left,2021-01-10,-302.0,38242.02,-0.5683417127547749,-137.0,-0.1562939710075631
left,2021-01-11,-301.0,35474.31,-0.6434678512707837,-136.0,-0.17695365909946553
left,2021-01-12,-300.0,33968.43,-0.686845059956678,-135.0,-0.18888239148808647
left,2021-01-13,-299.0,37520.66,-0.5873849092089575,-134.0,-0.1615308500324633
left,2021-01-14,-298.0,39171.12,-0.5443368832304387,-133.0,-0.14969264288837067
left,2021-01-15,-297.0,36868.39,-0.6049220794558705,-132.0,-0.1663535718503644
left,2021-01-16,-296.0,35869.47,-0.6323901079540519,-131.0,-0.1739072796873643
left,2021-01-17,-295.0,35931.15,-0.6306720165177258,-130.0,-0.1734348045423746
left,2021-01-18,-294.0,36765.97,-0.6077039347215359,-129.0,-0.1671185820484224
left,2021-01-19,-293.0,35673.03,-0.6378816827152437,-128.0,-0.17541746274669204
left,2021-01-20,-292.0,35570.44,-0.640761667952051,-127.0,-0.17620945868681404
left,2021-01-21,-291.0,30647.26,-0.7897333618355752,-126.0,-0.2171766745047832
