case_id,name,pair,anchor_type,left_anchor,right_anchor,pre_days,post_days,default_amp,default_time,default_shift,left_coverage,right_coverage
case01_peak_pre_1y_2021_to_2025,Peak pre 1y: 2021 -> 2025,2021->2025,peak,2021-11-08,2025-10-05,365,0,0.5,1.0,0,1.0,1.0
case02_peak_pre_6m_2021_to_2025,Peak pre 6m: 2021 -> 2025,2021->2025,peak,2021-11-08,2025-10-05,183,0,0.5,1.0,0,1.0,1.0
case03_peak_post_6m_2021_to_2025,Peak post 6m: 2021 -> 2025,2021->2025,peak,2021-11-08,2025-10-05,0,183,0.5,1.0,0,1.0,1.0
case04_peak_pm_6m_2021_to_2025,Peak +/- 6m: 2021 -> 2025,2021->2025,peak,2021-11-08,2025-10-05,183,183,0.5,1.0,0,1.0,1.0
case05_peak_post_1y_2021_to_2025,Peak post 1y: 2021 -> 2025,2021->2025,peak,2021-11-08,2025-10-05,0,365,0.5,1.0,0,1.0,0.6667
case06_peak_pm_1y_2021_to_2025,Peak +/- 1y: 2021 -> 2025,2021->2025,peak,2021-11-08,2025-10-05,365,365,0.5,1.0,0,1.0,0.8331
case07_peak_pre_2y_2021_to_2025,Peak pre 2y: 2021 -> 2025,2021->2025,peak,2021-11-08,2025-10-05,730,0,0.5,1.0,0,1.0,1.0
case08_peak_pre_3y_2021_to_2025,Peak pre 3y: 2021 -> 2025,2021->2025,peak,2021-11-08,2025-10-05,1095,0,0.5,1.0,0,1.0,1.0
case09_bottom_pre_6m_2021_to_2025,Bottom pre 6m: 2021 -> 2025,2021->2025,bottom,2022-11-21,2026-02-05,183,0,0.5,1.0,0,1.0,1.0
case10_bottom_post_6m_2021_to_2025,Bottom post 6m: 2021 -> 2025,2021->2025,bottom,2022-11-21,2026-02-05,0,183,0.5,1.0,0,1.0,0.6576
case11_bottom_pm_6m_2021_to_2025,Bottom +/- 6m: 2021 -> 2025,2021->2025,bottom,2022-11-21,2026-02-05,183,183,0.5,1.0,0,1.0,0.8283
case12_bottom_pre_1y_2021_to_2025,Bottom pre 1y: 2021 -> 2025,2021->2025,bottom,2022-11-21,2026-02-05,365,0,0.5,1.0,0,1.0,1.0
case13_bottom_post_1y_2021_to_2025,Bottom post 1y: 2021 -> 2025,2021->2025,bottom,2022-11-21,2026-02-05,0,365,0.5,1.0,0,1.0,0.3306
case14_bottom_pm_1y_2021_to_2025,Bottom +/- 1y: 2021 -> 2025,2021->2025,bottom,2022-11-21,2026-02-05,365,365,0.5,1.0,0,1.0,0.6648
