saved_at,case_id,case_name,pair,left_cycle,right_cycle,anchor_type,window_id,window_label,left_anchor,right_anchor,pre_days,post_days,amp_scale,time_scale,shift_days,rmse,overlap_days,visual_score,note
2026-06-07T18:49:41.853Z,case01_peak_pre_1y_2021_to_2025,Peak pre 1y: 2021 -> 2025,2021->2025,2021,2025,peak,peak_pre_1y,Peak pre 1y,2021-11-08,2025-10-05,365,0,0.64,0.91,-76,0.1019,290,,
2026-06-07T18:51:10.011Z,case01_peak_pre_1y_2021_to_2025,Peak +/- 6m: 2021 -> 2025,2021->2025,2021,2025,peak,peak_pm_6m,Peak +/- 6m,2021-11-08,2025-08-12,183,183,0.6,1.01,-13,0.0993,355,,
2026-06-07T19:32:07.980Z,case01_peak_pre_1y_2021_to_2025,Peak +/- 6m: 2017 -> 2021,2017->2021,2017,2021,peak,peak_pm_6m,Peak +/- 6m,2017-12-16,2021-11-08,183,183,0.43,1.01,-13,0.175,354,,
2026-06-07T19:32:49.522Z,case01_peak_pre_1y_2021_to_2025,Peak +/- 6m: 2017 -> 2021,2017->2021,2017,2021,peak,peak_pm_6m,Peak +/- 6m,2017-12-16,2021-11-08,365,0,0.46,1.01,-13,0.5332,353,,
2026-06-07T19:33:00.618Z,case01_peak_pre_1y_2021_to_2025,Peak +/- 6m: 2017 -> 2021,2017->2021,2017,2021,peak,peak_pm_6m,Peak +/- 6m,2017-12-16,2021-11-08,365,0,0.43,1.01,-13,0.4807,353,,
2026-06-07T19:33:21.217Z,case01_peak_pre_1y_2021_to_2025,Peak +/- 6m: 2021 -> 2025,2021->2025,2021,2025,peak,peak_pm_6m,Peak +/- 6m,2021-11-08,2025-08-12,365,0,0.58,1.01,-8,0.1293,358,,
2026-06-07T19:33:37.211Z,case01_peak_pre_1y_2021_to_2025,Peak +/- 6m: 2021 -> 2025,2021->2025,2021,2025,peak,peak_pm_6m,Peak +/- 6m,2021-11-08,2025-08-12,720,0,0.58,1.01,-8,0.2575,713,,
2026-06-07T19:34:58.188Z,case01_peak_pre_1y_2021_to_2025,Peak +/- 6m: 2021 -> 2025,2021->2025,2021,2025,peak,peak_pm_6m,Peak +/- 6m,2021-11-08,2025-08-12,365,0,0.58,0.98,2,0.1058,356,,
2026-06-07T19:35:11.606Z,case01_peak_pre_1y_2021_to_2025,Peak +/- 6m: 2021 -> 2025,2021->2025,2021,2025,peak,peak_pm_6m,Peak +/- 6m,2021-11-08,2025-08-12,0,500,0.58,0.98,2,0.1268,296,,
2026-06-07T19:35:52.658Z,case01_peak_pre_1y_2021_to_2025,Peak +/- 6m: 2021 -> 2025,2021->2025,2021,2025,peak,peak_pm_6m,Peak +/- 6m,2021-11-08,2025-08-12,0,500,0.49,0.94,-37,0.1197,298,,
2026-06-07T19:36:23.864Z,case01_peak_pre_1y_2021_to_2025,Peak +/- 6m: 2017 -> 2021,2017->2021,2017,2021,peak,peak_pm_6m,Peak +/- 6m,2017-12-16,2021-11-08,0,500,0.75,0.94,22,0.2175,471,,
