date,value
2024-06-08,509927.0
2024-06-09,767920.0
2024-06-10,658037.0
2024-06-11,463737.0
2024-06-12,690560.0
2024-06-13,731254.0
2024-06-14,604349.0
2024-06-15,452945.0
2024-06-16,461748.0
2024-06-17,441215.0
2024-06-18,617202.0
2024-06-19,634554.0
2024-06-20,532756.0
2024-06-21,592843.0
2024-06-22,681420.0
2024-06-23,492352.0
2024-06-24,528326.0
2024-06-25,536347.0
2024-06-26,490817.0
2024-06-27,414624.0
2024-06-28,593984.0
2024-06-29,712249.0
2024-06-30,505127.0
2024-07-01,611062.0
2024-07-02,592285.0
2024-07-03,545044.0
2024-07-04,538097.0
2024-07-05,490537.0
2024-07-06,658042.0
2024-07-07,673752.0
2024-07-08,593010.0
2024-07-09,654037.0
2024-07-10,631745.0
2024-07-11,642066.0
2024-07-12,658355.0
2024-07-13,735686.0
2024-07-14,586548.0
2024-07-15,552901.0
2024-07-16,529056.0
2024-07-17,615870.0
2024-07-18,445574.0
2024-07-19,507940.0
2024-07-20,680335.0
2024-07-21,859629.0
2024-07-22,824999.0
2024-07-23,838977.0
2024-07-24,596458.0
2024-07-25,719711.0
2024-07-26,459067.0
2024-07-27,445730.0
2024-07-28,753703.0
2024-07-29,826129.0
2024-07-30,683096.0
2024-07-31,562819.0
2024-08-01,544430.0
2024-08-02,410113.0
2024-08-03,504062.0
2024-08-04,524595.0
2024-08-05,548857.0
2024-08-06,485173.0
2024-08-07,380097.0
2024-08-08,487399.0
2024-08-09,396419.0
2024-08-10,548777.0
2024-08-11,644814.0
2024-08-12,450024.0
2024-08-13,579618.0
2024-08-14,504701.0
2024-08-15,660924.0
2024-08-16,575811.0
2024-08-17,702540.0
2024-08-18,769702.0
2024-08-19,553394.0
2024-08-20,717337.0
2024-08-21,687685.0
2024-08-22,795102.0
2024-08-23,799839.0
2024-08-24,794380.0
2024-08-25,705838.0
2024-08-26,600722.0
2024-08-27,673811.0
2024-08-28,733530.0
2024-08-29,524362.0
2024-08-30,542101.0
2024-08-31,701952.0
2024-09-01,651871.0
2024-09-02,754904.0
2024-09-03,582751.0
2024-09-04,722736.0
2024-09-05,721251.0
2024-09-06,667267.0
2024-09-07,781426.0
2024-09-08,910083.0
2024-09-09,572398.0
2024-09-10,568630.0
2024-09-11,411402.0
2024-09-12,563521.0
2024-09-13,419047.0
2024-09-14,638989.0
2024-09-15,712474.0
2024-09-16,504540.0
2024-09-17,539113.0
2024-09-18,541476.0
2024-09-19,455707.0
2024-09-20,526390.0
2024-09-21,557444.0
2024-09-22,628230.0
2024-09-23,580102.0
2024-09-24,532220.0
2024-09-25,503460.0
2024-09-26,474766.0
2024-09-27,451723.0
2024-09-28,507707.0
2024-09-29,687427.0
2024-09-30,594224.0
2024-10-01,632894.0
2024-10-02,590981.0
2024-10-03,582777.0
2024-10-04,561425.0
2024-10-05,757575.0
2024-10-06,742158.0
2024-10-07,717700.0
2024-10-08,719458.0
2024-10-09,536887.0
2024-10-10,746211.0
2024-10-11,633252.0
2024-10-12,736321.0
2024-10-13,648739.0
2024-10-14,611683.0
2024-10-15,646891.0
2024-10-16,708342.0
2024-10-17,653027.0
2024-10-18,474279.0
2024-10-19,735561.0
2024-10-20,778073.0
2024-10-21,835011.0
2024-10-22,700174.0
2024-10-23,665187.0
2024-10-24,681834.0
2024-10-25,524014.0
2024-10-26,597744.0
2024-10-27,700814.0
2024-10-28,702824.0
2024-10-29,614981.0
2024-10-30,682099.0
2024-10-31,562237.0
2024-11-01,547888.0
2024-11-02,544612.0
2024-11-03,455402.0
2024-11-04,456826.0
2024-11-05,465286.0
2024-11-06,501641.0
2024-11-07,553047.0
2024-11-08,497146.0
2024-11-09,577368.0
2024-11-10,558278.0
2024-11-11,462458.0
2024-11-12,503677.0
2024-11-13,570979.0
2024-11-14,503566.0
2024-11-15,562223.0
2024-11-16,602655.0
2024-11-17,598496.0
2024-11-18,673308.0
2024-11-19,810805.0
2024-11-20,664866.0
2024-11-21,498512.0
2024-11-22,540305.0
2024-11-23,444699.0
2024-11-24,463289.0
2024-11-25,604870.0
2024-11-26,475689.0
2024-11-27,462119.0
2024-11-28,523480.0
2024-11-29,341781.0
2024-11-30,640943.0
2024-12-01,698223.0
2024-12-02,311811.0
2024-12-03,439519.0
2024-12-04,502912.0
2024-12-05,512490.0
2024-12-06,414643.0
2024-12-07,456101.0
2024-12-08,420320.0
2024-12-09,403264.0
2024-12-10,441944.0
2024-12-11,481168.0
2024-12-12,474978.0
2024-12-13,523585.0
2024-12-14,517482.0
2024-12-15,378527.0
2024-12-16,412747.0
2024-12-17,419707.0
2024-12-18,414366.0
2024-12-19,437574.0
2024-12-20,398670.0
2024-12-21,330225.0
2024-12-22,336217.0
2024-12-23,292681.0
2024-12-24,326570.0
2024-12-25,405831.0
2024-12-26,298916.0
2024-12-27,348241.0
2024-12-28,298580.0
2024-12-29,419112.0
2024-12-30,374721.0
2024-12-31,312513.0
2025-01-01,292213.0
2025-01-02,402440.0
2025-01-03,409341.0
2025-01-04,432302.0
2025-01-05,433954.0
2025-01-06,366260.0
2025-01-07,352121.0
2025-01-08,399976.0
2025-01-09,534013.0
2025-01-10,408769.0
2025-01-11,361190.0
2025-01-12,380525.0
2025-01-13,408248.0
2025-01-14,352684.0
2025-01-15,354014.0
2025-01-16,375439.0
2025-01-17,425661.0
2025-01-18,360666.0
2025-01-19,388509.0
2025-01-20,350291.0
2025-01-21,324412.0
2025-01-22,432369.0
2025-01-23,326010.0
2025-01-24,369243.0
2025-01-25,338988.0
2025-01-26,309651.0
2025-01-27,332102.0
2025-01-28,305953.0
2025-01-29,355332.0
2025-01-30,335134.0
2025-01-31,328684.0
2025-02-01,357439.0
2025-02-02,383258.0
2025-02-03,360484.0
2025-02-04,308619.0
2025-02-05,381126.0
2025-02-06,428326.0
2025-02-07,498394.0
2025-02-08,469138.0
2025-02-09,385420.0
2025-02-10,359522.0
2025-02-11,337513.0
2025-02-12,386539.0
2025-02-13,379906.0
2025-02-14,346002.0
2025-02-15,306930.0
2025-02-16,300091.0
2025-02-17,333466.0
2025-02-18,422709.0
2025-02-19,448569.0
2025-02-20,480465.0
2025-02-21,459909.0
2025-02-22,551849.0
2025-02-23,572814.0
2025-02-24,514086.0
2025-02-25,497063.0
2025-02-26,403575.0
2025-02-27,325162.0
2025-02-28,386183.0
2025-03-01,290895.0
2025-03-02,264912.0
2025-03-03,374224.0
