date,value,ma30
2009-01-17,109.0,
2009-01-18,108.0,
2009-01-19,117.0,
2009-01-20,115.0,
2009-01-21,105.0,
2009-01-22,90.0,
2009-01-23,86.0,104.28571428571429
2009-01-24,202.0,116.5
2009-01-25,192.0,124.88888888888889
2009-01-26,97.0,122.1
2009-01-27,98.0,119.9090909090909
2009-01-28,112.0,119.25
2009-01-29,122.0,119.46153846153847
2009-01-30,117.0,119.28571428571429
2009-01-31,139.0,120.6
2009-02-01,114.0,120.1875
2009-02-02,129.0,120.70588235294117
2009-02-03,155.0,122.61111111111111
2009-02-04,119.0,122.42105263157895
2009-02-05,126.0,122.6
2009-02-06,122.0,122.57142857142857
2009-02-07,133.0,123.04545454545455
2009-02-08,133.0,123.47826086956522
2009-02-09,135.0,123.95833333333333
2009-02-10,120.0,123.8
2009-02-11,135.0,124.23076923076923
2009-02-12,119.0,124.03703703703704
2009-02-13,124.0,124.03571428571429
2009-02-14,136.0,124.44827586206897
2009-02-15,131.0,124.66666666666667
2009-02-16,123.0,125.13333333333334
2009-02-17,117.0,125.43333333333334
2009-02-18,118.0,125.46666666666667
2009-02-19,125.0,125.8
2009-02-20,122.0,126.36666666666666
2009-02-21,114.0,127.16666666666667
2009-02-22,125.0,128.46666666666667
2009-02-23,108.0,125.33333333333333
2009-02-24,106.0,122.46666666666667
2009-02-25,105.0,122.73333333333333
2009-02-26,107.0,123.03333333333333
2009-02-27,116.0,123.16666666666667
2009-02-28,100.0,122.43333333333334
2009-03-01,105.0,122.03333333333333
2009-03-02,108.0,121.0
2009-03-03,107.0,120.76666666666667
2009-03-04,106.0,120.0
2009-03-05,113.0,118.6
2009-03-06,117.0,118.53333333333333
2009-03-07,109.0,117.96666666666667
2009-03-08,118.0,117.83333333333333
2009-03-09,108.0,117.0
2009-03-10,107.0,116.13333333333334
2009-03-11,114.0,115.43333333333334
2009-03-12,119.0,115.4
2009-03-13,114.0,114.7
2009-03-14,110.0,114.4
2009-03-15,123.0,114.36666666666666
2009-03-16,122.0,113.9
2009-03-17,114.0,113.33333333333333
2009-03-18,116.0,113.1
2009-03-19,122.0,113.26666666666667
2009-03-20,119.0,113.3
2009-03-21,51.0,110.83333333333333
2009-03-22,120.0,110.76666666666667
2009-03-23,130.0,111.3
2009-03-24,105.0,110.63333333333334
2009-03-25,117.0,110.93333333333334
2009-03-26,118.0,111.33333333333333
2009-03-27,106.0,111.36666666666666
2009-03-28,122.0,111.86666666666666
2009-03-29,116.0,111.86666666666666
2009-03-30,120.0,112.53333333333333
2009-03-31,111.0,112.73333333333333
2009-04-01,114.0,112.93333333333334
2009-04-02,115.0,113.2
2009-04-03,116.0,113.53333333333333
2009-04-04,113.0,113.53333333333333
2009-04-05,132.0,114.03333333333333
2009-04-06,109.0,114.03333333333333
2009-04-07,100.0,113.43333333333334
2009-04-08,105.0,113.33333333333333
2009-04-09,99.0,113.06666666666666
2009-04-10,108.0,112.86666666666666
2009-04-11,121.0,112.93333333333334
2009-04-12,120.0,113.13333333333334
2009-04-13,116.0,113.33333333333333
2009-04-14,124.0,113.36666666666666
2009-04-15,113.0,113.06666666666666
