date,value,ma30
2009-01-03,2.0,
2009-01-09,14.0,
2009-01-10,60.0,
2009-01-11,93.0,
2009-01-12,102.0,
2009-01-13,123.0,
2009-01-14,130.0,74.85714285714286
2009-01-15,134.0,82.25
2009-01-16,110.0,85.33333333333333
2009-01-17,109.0,87.7
2009-01-18,108.0,89.54545454545455
2009-01-19,117.0,91.83333333333333
2009-01-20,115.0,93.61538461538461
2009-01-21,105.0,94.42857142857143
2009-01-22,90.0,94.13333333333334
2009-01-23,86.0,93.625
2009-01-24,202.0,100.0
2009-01-25,192.0,105.11111111111111
2009-01-26,97.0,104.6842105263158
2009-01-27,98.0,104.35
2009-01-28,112.0,104.71428571428571
2009-01-29,122.0,105.5
2009-01-30,117.0,106.0
2009-01-31,139.0,107.375
2009-02-01,114.0,107.64
2009-02-02,129.0,108.46153846153847
2009-02-03,153.0,110.11111111111111
2009-02-04,119.0,110.42857142857143
2009-02-05,126.0,110.96551724137932
2009-02-06,122.0,111.33333333333333
2009-02-07,134.0,115.73333333333333
2009-02-08,133.0,119.7
2009-02-09,135.0,122.2
2009-02-10,120.0,123.1
2009-02-11,135.0,124.2
2009-02-12,119.0,124.06666666666666
2009-02-14,136.0,124.26666666666667
2009-02-15,131.0,124.16666666666667
2009-02-16,123.0,124.6
2009-02-17,117.0,124.86666666666666
2009-02-18,118.0,125.2
2009-02-19,125.0,125.46666666666667
2009-02-20,122.0,125.7
2009-02-21,114.0,126.0
2009-02-22,125.0,127.16666666666667
2009-02-23,108.0,127.9
2009-02-24,106.0,124.7
2009-02-25,105.0,121.8
2009-02-26,107.0,122.13333333333334
2009-02-27,116.0,122.73333333333333
2009-02-28,100.0,122.33333333333333
2009-03-01,105.0,121.76666666666667
2009-03-02,108.0,121.46666666666667
2009-03-03,106.0,120.36666666666666
2009-03-04,106.0,120.1
2009-03-05,113.0,119.56666666666666
2009-03-06,117.0,118.36666666666666
2009-03-07,109.0,118.03333333333333
2009-03-08,118.0,117.76666666666667
2009-03-09,108.0,117.3
2009-03-10,107.0,116.4
