n,date,price,type
1,2015-03-11,296.99,H
2,2015-07-12,312.16,H
3,2015-08-24,211.16,L
4,2015-11-04,410.0,H
5,2016-01-07,459.07,H
6,2016-01-15,357.53,L
7,2016-03-05,396.08,L
8,2016-05-19,438.38,L
9,2016-06-05,575.17,L
10,2016-06-05,575.17,L
11,2016-06-16,769.76,H
12,2016-06-16,769.76,H
13,2016-06-22,604.5,L
14,2016-07-02,704.95,H
15,2016-08-02,537.47,L
16,2016-11-02,744.6,H
17,2017-01-11,795.77,L
18,2017-03-03,1292.86,H
19,2017-03-24,934.87,L
20,2017-06-11,2998.98,H
21,2017-07-16,1911.78,L
22,2017-09-01,4947.99,H
23,2017-09-14,3250.4,L
24,2017-11-12,5886.35,L
25,2017-12-16,19650.01,H
26,2018-01-06,17098.99,H
27,2018-02-05,6905.19,L
28,2018-03-04,11469.9,H
29,2018-04-06,6619.01,L
30,2018-05-05,9800.0,H
31,2018-06-28,5851.66,L
32,2018-07-24,8385.5,H
33,2018-11-07,6503.12,H
34,2018-12-15,3183.0,L
35,2019-01-06,4040.99,H
36,2019-02-07,3359.0,L
37,2019-02-23,4110.0,H
38,2019-03-28,4011.17,L
39,2019-04-10,5318.58,H
40,2019-04-25,5134.81,L
41,2019-05-27,8783.25,H
42,2019-06-09,7623.84,L
43,2019-06-26,12902.52,H
44,2019-07-09,12559.46,H
45,2019-07-16,9436.0,L
46,2019-08-08,12017.89,H
47,2019-10-27,9570.58,H
48,2020-02-14,10380.0,H
49,2020-03-06,9162.98,H
50,2020-03-12,4980.0,L
51,2020-05-07,10007.56,H
52,2020-07-24,9553.41,L
53,2020-08-17,12325.1,H
54,2020-09-08,10123.21,L
55,2020-10-16,11329.33,L
56,2020-12-11,18048.14,L
57,2021-01-08,40666.72,H
58,2021-01-27,30552.06,L
59,2021-02-21,57538.47,H
60,2021-02-28,45352.29,L
61,2021-03-13,61130.22,H
62,2021-03-25,51386.2,L
63,2021-04-13,63660.94,H
64,2021-05-08,59045.17,H
65,2021-06-14,40496.92,H
66,2021-07-20,29788.61,L
67,2021-07-30,42188.95,H
68,2021-09-06,52691.2,H
69,2021-09-21,40656.13,L
70,2021-10-20,66005.17,H
71,2021-11-08,67510.06,H
72,2022-01-22,35108.16,L
73,2022-02-15,44469.73,H
74,2022-03-29,47430.74,H
75,2022-05-04,39671.83,H
76,2022-05-31,31804.27,H
77,2022-06-18,18989.21,L
78,2022-08-13,24447.08,H
79,2022-09-21,18488.54,L
80,2022-11-05,21304.72,H
81,2022-11-09,15850.62,L
82,2023-01-21,22785.59,H
83,2023-02-20,24835.63,H
84,2023-03-10,20227.02,L
85,2023-04-14,30493.72,H
86,2023-06-14,25103.81,L
87,2023-06-27,30702.1,H
88,2023-09-11,25161.68,L
89,2023-10-12,26745.5,L
90,2023-10-31,34667.88,H
91,2023-11-27,37244.39,L
92,2023-12-08,44223.94,H
93,2024-01-08,47000.31,H
94,2024-01-22,39547.64,L
95,2024-02-23,50751.19,L
96,2024-03-13,73098.48,H
97,2024-05-20,71466.21,H
98,2024-09-06,53930.39,L
99,2024-11-03,67807.48,L
100,2024-11-12,90493.82,H
101,2024-11-21,99024.03,H
102,2024-12-16,106136.99,H
103,2025-01-08,92547.44,L
104,2025-01-20,106159.26,H
105,2025-02-19,98347.2,H
106,2025-02-25,84111.78,L
107,2025-03-09,78544.71,L
108,2025-03-23,87523.62,H
109,2025-04-07,76251.64,L
110,2025-05-03,94272.55,L
111,2025-05-09,104821.19,H
112,2025-05-21,111722.53,H
113,2025-06-04,101570.2,L
114,2025-06-08,110301.15,H
115,2025-06-21,100996.87,L
116,2025-07-04,108246.65,L
117,2025-07-13,119863.71,H
118,2025-08-01,112542.74,L
119,2025-08-12,123365.63,H
120,2025-08-30,108247.95,L
121,2025-09-17,117117.99,H
122,2025-10-05,124720.09,H
123,2025-10-16,106463.3,L
124,2025-10-25,114548.09,H
125,2025-11-09,106496.49,H
126,2025-11-21,84826.0,L
127,2025-12-03,93150.03,H
128,2025-12-18,85352.25,L
129,2026-01-14,96852.91,H
130,2026-01-27,89296.0,H
131,2026-02-02,78938.16,H
132,2026-02-05,63845.99,L
133,2026-03-16,74758.54,H
134,2026-03-29,65862.79,L
135,2026-05-10,82103.78,H
