i,date,price,type,gap_days,ratio_vs_prev,confirmed
0,2014-12-01,370.0,H,,,False
1,2015-01-07,340.0,L,37.0,,True
2,2015-01-14,120.0,L,7.0,0.189,True
3,2015-01-26,274.5,L,12.0,1.714,True
4,2017-03-24,934.9,L,788.0,65.667,True
5,2017-11-12,5886.4,L,233.0,0.296,True
6,2017-12-16,19650.0,H,34.0,0.146,True
7,2018-12-15,3183.0,L,364.0,10.706,True
8,2019-06-26,12902.5,H,193.0,0.53,True
9,2020-03-12,4980.0,L,260.0,1.347,True
10,2021-04-13,63660.9,H,397.0,1.527,True
11,2022-11-21,15755.8,L,587.0,1.479,True
12,2024-12-15,106099.8,H,755.0,1.286,True
13,2026-05-31,73688.4,L,532.0,0.705,False
