window,n,date,price,type,major
2014,1,2014-12-01,370.0,H,True
2015,1,2015-01-14,120.0,L,True
2015,2,2015-01-15,204.2,H,False
2015,3,2015-01-17,184.0,L,False
2015,4,2015-01-26,274.5,H,False
2015,5,2015-01-31,218.4,L,False
2015,6,2015-02-02,237.8,H,False
2015,7,2015-02-05,216.8,L,False
2015,8,2015-02-14,256.7,H,False
2015,9,2015-02-16,234.7,L,False
2015,10,2015-03-11,297.0,H,False
2015,11,2015-04-14,221.1,L,False
2015,12,2015-05-08,244.5,H,False
2015,13,2015-06-01,223.6,L,False
2015,14,2015-07-12,312.2,H,False
2015,15,2015-08-24,211.2,L,False
2015,16,2015-11-04,410.0,H,False
2015,17,2015-11-11,313.2,L,False
2015,18,2015-12-15,464.3,H,False
2015,19,2015-12-26,419.4,L,False
2016,1,2016-01-07,459.1,H,False
2016,2,2016-01-15,357.5,L,False
2016,3,2016-01-20,418.5,H,False
2016,4,2016-01-31,367.9,L,False
2016,5,2016-02-21,438.6,H,False
2016,6,2016-03-05,396.1,L,False
2016,7,2016-06-16,769.8,H,False
2016,8,2016-06-22,604.5,L,False
2016,9,2016-07-02,705.0,H,False
2016,10,2016-08-02,537.5,L,False
2017,1,2017-01-04,1130.3,H,False
2017,2,2017-01-11,795.8,L,False
2017,3,2017-03-03,1292.9,H,False
2017,4,2017-03-10,1109.0,L,False
2017,5,2017-03-15,1263.0,H,False
2017,6,2017-03-18,970.0,L,False
2017,7,2017-03-21,1114.4,H,False
2017,8,2017-03-24,934.9,L,False
2017,9,2017-05-24,2433.0,H,False
2017,10,2017-05-27,2100.0,L,False
2017,11,2017-06-11,2999.0,H,False
2017,12,2017-06-15,2410.0,L,False
2017,13,2017-06-20,2725.1,H,False
2017,14,2017-06-26,2407.9,L,False
2017,15,2017-07-05,2617.0,H,False
2017,16,2017-07-16,1911.8,L,False
2017,17,2017-07-20,2873.5,H,False
2017,18,2017-07-26,2526.0,L,False
2017,19,2017-08-16,4370.0,H,False
2017,20,2017-08-21,4002.0,L,False
2017,21,2017-09-01,4948.0,H,False
2017,22,2017-09-14,3250.4,L,False
2017,23,2017-09-18,4100.0,H,False
2017,24,2017-09-21,3617.5,L,False
2017,25,2017-10-21,6024.9,H,False
2017,26,2017-10-24,5525.4,L,False
2017,27,2017-11-08,7468.0,H,False
2017,28,2017-11-12,5886.4,L,False
2017,29,2017-12-07,17390.0,H,False
2017,30,2017-12-10,15290.0,L,False
2017,31,2017-12-16,19650.0,H,True
2017,32,2017-12-25,14172.0,L,False
2017,33,2017-12-26,15790.9,H,False
2017,34,2017-12-30,12840.0,L,False
2018,1,2018-01-06,17099.0,H,False
2018,2,2018-01-17,11200.0,L,False
2018,3,2018-01-20,12762.8,H,False
2018,4,2018-02-05,6905.2,L,True
2018,5,2018-02-20,11235.6,H,False
2018,6,2018-02-25,9598.0,L,False
2018,7,2018-03-04,11469.9,H,True
2018,8,2018-03-10,8795.4,L,False
2018,9,2018-03-11,9533.9,H,False
2018,10,2018-03-17,7865.0,L,False
2018,11,2018-03-23,8927.1,H,False
2018,12,2018-04-01,6816.0,L,False
2018,13,2018-04-03,7424.9,H,False
2018,14,2018-04-06,6619.0,L,False
2018,15,2018-04-24,9650.0,H,False
2018,16,2018-04-25,8866.0,L,False
2018,17,2018-05-05,9800.0,H,False
2018,18,2018-05-28,7107.9,L,False
2018,19,2018-06-03,7706.4,H,False
2018,20,2018-06-28,5851.7,L,False
2018,21,2018-07-24,8385.5,H,False
2018,22,2018-08-10,6146.0,L,False
2018,23,2018-09-04,7360.0,H,False
2018,24,2018-09-08,6188.0,L,False
2018,25,2018-09-21,6750.0,H,False
2018,26,2018-11-26,3731.3,L,False
2018,27,2018-11-29,4248.0,H,False
2018,28,2018-12-15,3183.0,L,True
2018,29,2018-12-20,4075.3,H,False
2018,30,2018-12-27,3589.9,L,False
2019,1,2019-01-06,4041.0,H,False
2019,2,2019-02-07,3359.0,L,False
2019,3,2019-02-23,4110.0,H,False
2019,4,2019-03-04,3700.7,L,False
2019,5,2019-05-15,8203.3,H,False
2019,6,2019-05-18,7262.4,L,False
2019,7,2019-05-27,8783.2,H,False
2019,8,2019-06-09,7623.8,L,False
2019,9,2019-06-26,12902.5,H,True
2019,10,2019-06-27,11127.4,L,False
2019,11,2019-06-28,12317.7,H,False
2019,12,2019-07-01,10570.6,L,False
2019,13,2019-07-03,12022.6,H,False
2019,14,2019-07-05,11038.6,L,False
2019,15,2019-07-09,12559.5,H,False
2019,16,2019-07-16,9436.0,L,False
2019,17,2019-07-20,10754.9,H,False
