i,date,price,type,gap_days,ratio_vs_prev,confirmed
0,2014-12-01,370.0,H,,,False
1,2015-01-14,120.0,L,44.0,,True
2,2017-06-11,2999.0,H,879.0,19.977,True
3,2017-07-16,1911.8,L,35.0,0.04,True
4,2017-12-16,19650.0,H,153.0,4.371,True
5,2018-02-05,6905.2,L,51.0,0.333,True
6,2018-03-04,11469.9,H,27.0,0.529,True
7,2018-04-06,6619.0,L,33.0,1.222,True
8,2018-05-05,9800.0,H,29.0,0.879,True
9,2018-06-28,5851.7,L,54.0,1.862,True
10,2018-07-24,8385.5,H,26.0,0.481,True
11,2018-12-15,3183.0,L,144.0,5.538,True
12,2019-06-26,12902.5,H,193.0,1.34,True
13,2019-12-17,6618.6,L,174.0,0.902,True
14,2020-02-14,10380.0,H,59.0,0.339,True
15,2020-03-12,4980.0,L,27.0,0.458,True
16,2021-04-13,63660.9,H,397.0,14.704,True
17,2021-07-20,29788.6,L,98.0,0.247,True
18,2021-11-08,67510.1,H,111.0,1.133,True
19,2022-01-22,35108.2,L,75.0,0.676,True
20,2022-03-29,47430.7,H,66.0,0.88,True
21,2022-11-21,15755.8,L,237.0,3.591,True
22,2025-10-05,124720.1,H,1049.0,4.426,True
23,2026-06-30,58586.0,L,268.0,0.255,False
