cycle,indicator,date,value,days_from_halving
2013,AHR999,2013-11-29,101.3586032899785,366
2017,AHR999,2017-12-16,25.816076678709667,525
2021,AHR999,2021-11-08,3.8031025660260607,546
2025,AHR999,2025-08-13,1.2691621716947261,480
2013,MVRV,2013-11-18,5.88406778,355
2017,MVRV,2017-12-07,4.7166582,516
2021,MVRV,2021-10-20,2.928317326688,527
2025,MVRV,2025-07-14,2.4125084332311304,450
2013,价格,2013-12-04,1237.55,371
2017,价格,2017-12-16,19345.49,525
2021,价格,2021-11-08,67549.14,546
2025,价格,2025-10-06,124723.0,534
2017,恐慌,2018-02-17,74.0,588
2021,恐慌,2021-10-21,84.0,528
2025,恐慌,2025-07-12,79.0,448
