cycle,indicator,date,value,days_from_peak,projected_bottom
2011,AHR999,2011-11-18,0.13162391237278437,163,2026-03-18
2013,AHR999,2015-01-14,0.1988782734371232,406,2026-11-16
2017,AHR999,2018-12-14,0.27870656025641616,363,2026-10-04
2021,AHR999,2022-11-09,0.2591669212958765,366,2026-10-07
2011,MVRV,2011-10-19,0.38682853,133,2026-02-16
2013,MVRV,2015-01-14,0.56357972,406,2026-11-16
2017,MVRV,2018-12-15,0.69048064,364,2026-10-05
2021,MVRV,2022-11-09,0.753958696179,366,2026-10-07
2011,价格,2011-11-18,2.05,163,2026-03-18
2013,价格,2014-02-21,111.56,79,2025-12-24
2017,价格,2018-12-15,3232.51,364,2026-10-05
2021,价格,2022-11-21,15760.19,378,2026-10-19
2017,恐慌,2018-02-06,8.0,52,2025-11-27
2021,恐慌,2022-06-18,6.0,222,2026-05-16
