post_day,dd_2025,dd_2017_scaled,dd_2021_scaled
0,0.0,0.0,0.0
1,-2.6668838997790933,-0.4597453131067038,-0.46359021740213596
2,-1.1039440398094569,-1.0364710586237187,-2.2348250371075475
3,-2.4098603520892325,-3.0725684109066584,-2.3230566684707736
4,-9.412926177330371,-5.3488013492105075,-2.866266590049673
5,-11.186008605349784,-6.600861780731918,-2.589154100851005
6,-7.739017827841533,-9.227204803797385,-1.535959021466218
7,-7.573807876501693,-7.7593175101013525,-3.4793041039597488
8,-9.342592680938566,-9.2079172818063,-6.296661447157987
9,-11.157761351839945,-9.292667026632554,-6.1538762075301445
10,-13.247336495668016,-6.546442809274225,-8.97340577466618
11,-14.638211053247307,-7.26535677759621,-7.972412486290518
12,-14.040384351871449,-8.821030286159306,-6.6178854760068955
13,-12.863452872748892,-8.625881954597817,-7.497730243505214
14,-11.347033184469312,-11.552190897952045,-9.625765673088042
15,-13.115625557999511,-9.816585335071075,-8.475154046949498
16,-13.738051343612723,-10.46649170492364,-8.769986410160442
17,-11.709468779247988,-8.258689605416654,-7.258665881468994
18,-10.966926018093792,-7.721573678588456,-11.691242763674838
19,-10.466541517088379,-7.642099588414119,-10.984380569364841
20,-8.155863261484175,-4.563186821109337,-8.584723074867073
21,-8.525515015263373,-4.327427823191942,-8.279876246179121
22,-9.471882196364678,-5.896163241986473,-9.091347272013302
23,-11.776739417041782,-7.898672825102885,-8.792880282134783
24,-13.158994673592684,-8.768477301877539,-9.359180773131214
25,-12.159083592707475,-8.099792315627319,-11.825877887504562
26,-11.760607292698388,-10.758179427559236,-15.5434253554768
27,-11.37273072846564,-9.889748995886851,-15.39225909435666
28,-14.562297060561779,-9.265576285542176,-14.471073655538202
29,-18.64329956785631,-10.16756055934153,-14.39651677250781
30,-19.58645154922514,-10.279909950851591,-14.520162495707337
31,-17.036621766389036,-13.706523983109083,-16.993795332968684
32,-18.65951187174416,-14.334174215008881,-17.31072622631848
33,-17.509560809329116,-14.155175154278968,-15.460076951942243
34,-18.346410750665754,-13.82699890059428,-14.918791244481474
35,-14.611599462444257,-11.683132307142166,-17.84832599473519
36,-14.952747388171383,-13.794462869654177,-16.39165314699859
37,-17.627601134668847,-15.069220490642666,-15.927438629015908
38,-18.260610620149485,-14.97042495143768,-17.02252171173665
39,-20.697307065766225,-14.068220151881174,-18.190160494804942
40,-23.96635538027595,-14.47329204073348,-17.70014440351385
41,-23.752973558630362,-14.526065550772408,-17.810773887212083
42,-23.670709346024353,-14.132325293133862,-17.57136744266598
43,-26.350518188368856,-13.76421691388452,-15.868856999197341
44,-26.086879828261832,-14.46479331732316,-16.131858584863075
45,-26.408279532190836,-16.37829531214827,-14.255946517131498
46,-30.072212103118268,-16.20019531796676,-14.277121424493656
47,-31.98689962459136,-18.04202644171682,-14.636846839830616
48,-31.740010771320005,-18.426606398673584,-14.254860405162594
49,-30.645295397076765,-17.659041055619475,-14.407489069012504
50,-29.457138781731153,-19.477683047828812,-17.031869116319374
51,-29.950242980100484,-21.61970061762479,-17.95185726635322
52,-27.32884493588803,-20.29099900373248,-17.456650072974565
53,-26.961245778446763,-20.482194835184984,-18.18632917069418
54,-27.10093458078806,-19.39254314204759,-16.899927892255025
55,-27.079310157649815,-18.6242483676429,-17.31924408081473
56,-29.885481962047976,-18.83378176397874,-17.951036268329485
57,-30.541863784735877,-19.63870077759078,-18.49012409566422
58,-26.609458027171083,-18.28282360500919,-20.599533132583563
59,-25.312730290685327,-18.88039751633714,-20.847132453241525
60,-25.951536757229732,-17.263824971759977,-22.11041750607489
61,-28.36183809681344,-16.316836479981433,-22.10073657104502
62,-28.254974799970068,-16.085691559444495,-21.95423973618488
63,-27.48929222228752,-14.467354808810102,-21.925427836789442
64,-27.56710647017654,-15.725131946497735,-21.15679409325617
65,-26.03952578930948,-14.435972297215116,-20.20494095742613
66,-26.880288492415293,-14.273851938667374,-21.288153777053708
67,-26.407533862427456,-15.599211739162811,-20.82545297417728
68,-27.55778158915696,-16.658193388536016,-20.890739421189682
69,-27.57701666187059,-16.123859478951918,-20.843420858009228
70,-29.073166961313134,-16.89802363120086,-21.57222764532862
71,-31.085681544970022,-17.05176401097675,-21.464351925834997
72,-29.762823294947914,-15.860907958825464,-22.052836467597757
73,-30.994004253845553,-15.408711412021333,-22.931364217433003
74,-31.56495477192167,-15.848575479944623,-26.508632200162335
75,-29.42909999503689,-14.850017888031608,-27.710308192964618
76,-29.18351005038563,-14.673461574150174,-26.748303758653606
77,-28.867915345474813,-13.939789343618653,-26.39728434319333
78,-28.770120355108787,-13.876345779637429,-26.11237237276919
79,-29.7669365055782,-14.033020848335441,-26.230168485049607
80,-29.830069878878373,-15.182367167582441,-25.972939541738256
81,-30.11603022416035,-16.505521710506336,-25.51273594118403
82,-30.018772436742147,-17.5489478122403,-25.09469400997367
83,-29.566551788088024,-17.633595775947867,-25.306802270230605
84,-29.418363954034987,-18.413171291006975,-24.869193219454566
85,-30.199513165842006,-17.16051713629323,-24.599965732108853
86,-29.293460259690317,-17.862603292992382,-26.172801248141145
87,-29.685746698867842,-17.81949898922867,-25.888590546862282
88,-28.92654262837686,-19.411321758445244,-22.20514870512602
89,-27.748600886994236,-19.32148295768467,-22.288864847358706
