===== 2025 年 手标情绪变化点（去重后 26 个）=====
      date    price type  gap_days  move_%
2025-01-08  92547.0    L       NaN     NaN
2025-01-20 106159.0    H      12.0    14.7
2025-02-19  98347.0    H      30.0    -7.4
2025-02-25  84112.0    L       6.0   -14.5
2025-03-09  78545.0    L      12.0    -6.6
2025-03-23  87524.0    H      14.0    11.4
2025-04-07  76252.0    L      15.0   -12.9
2025-05-03  94273.0    L      26.0    23.6
2025-05-09 104821.0    H       6.0    11.2
2025-05-21 111723.0    H      12.0     6.6
2025-06-04 101570.0    L      14.0    -9.1
2025-06-08 110301.0    H       4.0     8.6
2025-06-21 100997.0    L      13.0    -8.4
2025-07-04 108247.0    L      13.0     7.2
2025-07-13 119864.0    H       9.0    10.7
2025-08-01 112543.0    L      19.0    -6.1
2025-08-12 123366.0    H      11.0     9.6
2025-08-30 108248.0    L      18.0   -12.3
2025-09-17 117118.0    H      18.0     8.2
2025-10-05 124720.0    H      18.0     6.5
2025-10-16 106463.0    L      11.0   -14.6
2025-10-25 114548.0    H       9.0     7.6
2025-11-09 106496.0    H      15.0    -7.0
2025-11-21  84826.0    L      12.0   -20.3
2025-12-03  93150.0    H      12.0     9.8
2025-12-18  85352.0    L      15.0    -8.4

间隔(天)：均值 14，范围 4~30，序列 [12, 30, 6, 12, 14, 15, 26, 6, 12, 14, 4, 13, 13, 9, 19, 11, 18, 18, 18, 11, 9, 15, 12, 12, 15]

图：I:\yc_research\claude code\BTC_analysis_tool\output\core_points\year_2025.png
